Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Nockamixon"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Nockamixon","Inflow from Upstream","Outflow to Downstream"
3/16/2006,0,140392,-140392
3/17/2006,0,135354,-135354
3/18/2006,0,130852,-130852
3/19/2006,0,126797,-126797
3/20/2006,0,120423,-120423
3/21/2006,0,115106,-115106
3/22/2006,0,110624,-110624
3/23/2006,0,106701,-106701
3/24/2006,0,103222,-103222
3/25/2006,0,166405,-166405
3/26/2006,0,126798,-126798
3/27/2006,0,105257,-105257
3/28/2006,0,102751,-102751
3/29/2006,0,100169,-100169
3/30/2006,0,97543,-97543
3/31/2006,0,94903.4,-94903.4
4/1/2006,0,125333,-125333
4/2/2006,0,92060.2,-92060.2
4/3/2006,0,182395,-182395
4/4/2006,0,102838,-102838
4/5/2006,0,125335,-125335
4/6/2006,0,97611.6,-97611.6
4/7/2006,0,162909,-162909
4/8/2006,0,712492,-712492
4/9/2006,0,237614,-237614
4/10/2006,0,251880,-251880
4/11/2006,0,235805,-235805
4/12/2006,0,212747,-212747
4/13/2006,0,199777,-199777
4/14/2006,0,203169,-203169
4/15/2006,0,158741,-158741
4/16/2006,0,128350,-128350
4/17/2006,0,110292,-110292
4/18/2006,0,99095.2,-99095.2
4/19/2006,0,91531.9,-91531.9
4/20/2006,0,86214.6,-86214.6
4/21/2006,0,114155,-114155
4/22/2006,0,1831071,-1831070
4/23/2006,0,677472,-677472
4/24/2006,0,1059120,-1059120
4/25/2006,0,654498,-654498
4/26/2006,0,552139,-552139
4/27/2006,0,451752,-451752
4/28/2006,0,363027,-363027
4/29/2006,0,291184,-291184
4/30/2006,0,206470,-206470
5/1/2006,0,161095,-161095
5/2/2006,0,134359,-134359
5/3/2006,0,119774,-119774
5/4/2006,0,111057,-111057
5/5/2006,0,105308,-105308
5/6/2006,0,101250,-101250
5/7/2006,0,98147,-98147
5/8/2006,0,95548.9,-95548.9
5/9/2006,0,93251.1,-93251.1
5/10/2006,0,91161.1,-91161.1
5/11/2006,0,596897,-596897
5/12/2006,0,128087,-128087
5/13/2006,0,725117,-725117
5/14/2006,0,244208,-244208
5/15/2006,0,1088413,-1088410
5/16/2006,0,803527,-803527
5/17/2006,0,567557,-567557
5/18/2006,0,514081,-514081
5/19/2006,0,449756,-449756
5/20/2006,0,303994,-303994
5/21/2006,0,224796,-224796
5/22/2006,0,181354,-181354
5/23/2006,0,149352,-149352
5/24/2006,0,130516,-130516
5/25/2006,0,119447,-119447
5/26/2006,0,167375,-167375
5/27/2006,0,113406,-113406
5/28/2006,0,107491,-107491
5/29/2006,0,103033,-103033
5/30/2006,0,108730,-108730
5/31/2006,0,97070.2,-97070.2
6/1/2006,0,847934,-847934
6/2/2006,0,1731090,-1731090
6/3/2006,0,855319,-855319
6/4/2006,0,591327,-591327
6/5/2006,0,490836,-490836
6/6/2006,0,403787,-403787
6/7/2006,0,658693,-658693
6/8/2006,0,488991,-488991
6/9/2006,0,428609,-428609
6/10/2006,0,256696,-256696
6/11/2006,0,190997,-190997
6/12/2006,0,158796,-158796
6/13/2006,0,140695,-140695
6/14/2006,0,161110,-161110
6/15/2006,0,125799,-125799
6/16/2006,0,118408,-118408
6/17/2006,0,112955,-112955
6/18/2006,0,108889,-108889
6/19/2006,0,223926,-223926
6/20/2006,0,110552,-110552
6/21/2006,0,106610,-106610
6/22/2006,0,168093,-168093
6/23/2006,0,270759,-270759
6/24/2006,0,1823185,-1823190
6/25/2006,0,1456046,-1456050
6/26/2006,0,4558628,-4558630
6/27/2006,0,4483378,-4483380
6/28/2006,0,4702240,-4702240
6/29/2006,0,2061871,-2061870
6/30/2006,0,1194942,-1194940
7/1/2006,0,688443,-688443
7/2/2006,0,542769,-542769
7/3/2006,0,405013,-405013
7/4/2006,0,345172,-345172
7/5/2006,0,1073238,-1073240
7/6/2006,0,864894,-864894
7/7/2006,0,446798,-446798
7/8/2006,0,378605,-378605
7/9/2006,0,658306,-658306
7/10/2006,0,393202,-393202
7/11/2006,0,338302,-338302
7/12/2006,0,617825,-617825
7/13/2006,0,359499,-359499
7/14/2006,0,280996,-280996
7/15/2006,0,687080,-687080
7/16/2006,0,335480,-335480
7/17/2006,0,275707,-275707
7/18/2006,0,360412,-360412
7/19/2006,0,245212,-245212
7/20/2006,0,214882,-214882
7/21/2006,0,967743,-967743
7/22/2006,0,1067947,-1067950
7/23/2006,0,464978,-464978
7/24/2006,0,378681,-378681
7/25/2006,0,314583,-314583
7/26/2006,0,262337,-262337
7/27/2006,0,495192,-495192
7/28/2006,0,537239,-537239
7/29/2006,0,305298,-305298
7/30/2006,0,234920,-234920
7/31/2006,0,235603,-235603
8/1/2006,0,186584,-186584
8/2/2006,0,170721,-170721
8/3/2006,0,373523,-373523
8/4/2006,0,187532,-187532
8/5/2006,0,167813,-167813
8/6/2006,0,155621,-155621
8/7/2006,0,251659,-251659
8/8/2006,0,154809,-154809
8/9/2006,0,146564,-146564
8/10/2006,0,148668,-148668
8/11/2006,0,133246,-133246
8/12/2006,0,127380,-127380
8/13/2006,0,122824,-122824
8/14/2006,0,118977,-118977
8/15/2006,0,150123,-150123
8/16/2006,0,114190,-114190
8/17/2006,0,110902,-110902
8/18/2006,0,108000,-108000
8/19/2006,0,118755,-118755
8/20/2006,0,103526,-103526
8/21/2006,0,101216,-101216
8/22/2006,0,99079.7,-99079.7
8/23/2006,0,97015.9,-97015.9
8/24/2006,0,102802,-102802
8/25/2006,0,246190,-246190
8/26/2006,0,282520,-282520
8/27/2006,0,1646698,-1646700
8/28/2006,0,614713,-614713
8/29/2006,0,1203010,-1203010
8/30/2006,0,685187,-685187
8/31/2006,0,559937,-559937
9/1/2006,0,1091274,-1091270
9/2/2006,0,3936085,-3936090
9/3/2006,0,1596036,-1596040
9/4/2006,0,770779,-770779
9/5/2006,0,679310,-679310
9/6/2006,0,421181,-421181
9/7/2006,0,322171,-322171
9/8/2006,0,269329,-269329
9/9/2006,0,231246,-231246
9/10/2006,0,199517,-199517
9/11/2006,0,184077,-184077
9/12/2006,0,174216,-174216
9/13/2006,0,174566,-174566
9/14/2006,0,1921041,-1921040
9/15/2006,0,1180002,-1180000
9/16/2006,0,849211,-849211
9/17/2006,0,659671,-659671
9/18/2006,0,575912,-575912
9/19/2006,0,478936,-478936
9/20/2006,0,399172,-399172
9/21/2006,0,340838,-340838
9/22/2006,0,263754,-263754
9/23/2006,0,294308,-294308
9/24/2006,0,222377,-222377
9/25/2006,0,191720,-191720
9/26/2006,0,177345,-177345
9/27/2006,0,167501,-167501
9/28/2006,0,563845,-563845
9/29/2006,0,232859,-232859
9/30/2006,0,231645,-231645
10/1/2006,0,373566,-373566
10/2/2006,0,248517,-248517
10/3/2006,0,237553,-237553
10/4/2006,0,790340,-790340
10/5/2006,0,449889,-449889
10/6/2006,0,576061,-576061
10/7/2006,0,377504,-377504
10/8/2006,0,321858,-321858
10/9/2006,0,271884,-271884
10/10/2006,0,236016,-236016
10/11/2006,0,499039,-499039
10/12/2006,0,278304,-278304
10/13/2006,0,240222,-240222
10/14/2006,0,211429,-211429
10/15/2006,0,192276,-192276
10/16/2006,0,178364,-178364
10/17/2006,0,1218424,-1218420
10/18/2006,0,458816,-458816
10/19/2006,0,699193,-699193
10/20/2006,0,1201438,-1201440
10/21/2006,0,656067,-656067
10/22/2006,0,571570,-571570
10/23/2006,0,472253,-472253
10/24/2006,0,400063,-400063
10/25/2006,0,310708,-310708
10/26/2006,0,260247,-260247
10/27/2006,0,665010,-665010
10/28/2006,0,2862228,-2862230
10/29/2006,0,977038,-977038
10/30/2006,0,807888,-807888
10/31/2006,0,661078,-661078
11/1/2006,0,619963,-619963
11/2/2006,0,872316,-872316
11/3/2006,0,610535,-610535
11/4/2006,0,480476,-480476
11/5/2006,0,359501,-359501
11/6/2006,0,298878,-298878
11/7/2006,0,370237,-370237
11/8/2006,0,3870541,-3870540
11/9/2006,0,1197511,-1197510
11/10/2006,0,973434,-973434
11/11/2006,0,783917,-783917
11/12/2006,0,796386,-796386
11/13/2006,0,823110,-823110
11/14/2006,0,619631,-619631
11/15/2006,0,506183,-506183
11/16/2006,0,1597281,-1597280
11/17/2006,0,758544,-758544
11/18/2006,0,592602,-592602
11/19/2006,0,500073,-500073
11/20/2006,0,435623,-435623
11/21/2006,0,386984,-386984
11/22/2006,0,653725,-653725
11/23/2006,0,1417601,-1417600
11/24/2006,0,711719,-711719
11/25/2006,0,595300,-595300
11/26/2006,0,514264,-514264
11/27/2006,0,454200,-454200
11/28/2006,0,407068,-407068
11/29/2006,0,369150,-369150
11/30/2006,0,335966,-335966
12/1/2006,0,465430,-465430
12/2/2006,0,322829,-322829
12/3/2006,0,292948,-292948
12/4/2006,0,271848,-271848
12/5/2006,0,255617,-255617
12/6/2006,0,242663,-242663
12/7/2006,0,231665,-231665
12/8/2006,0,221919,-221919
12/9/2006,0,210041,-210041
12/10/2006,0,200041,-200041
12/11/2006,0,191128,-191128
12/12/2006,0,183121,-183121
12/13/2006,0,260285,-260285
12/14/2006,0,184248,-184248
12/15/2006,0,178286,-178286
12/16/2006,0,172716,-172716
12/17/2006,0,167502,-167502
12/18/2006,0,162450,-162450
12/19/2006,0,157616,-157616
12/20/2006,0,153230,-153230
12/21/2006,0,147722,-147722
12/22/2006,0,773906,-773906
12/23/2006,0,633938,-633938
12/24/2006,0,371732,-371732
12/25/2006,0,1359771,-1359770
12/26/2006,0,795247,-795247
12/27/2006,0,683331,-683331
12/28/2006,0,589670,-589670
12/29/2006,0,500160,-500160
12/30/2006,0,386081,-386081
12/31/2006,0,309250,-309250
1/1/2007,0,2163130,-2163130
1/2/2007,0,869562,-869562
1/3/2007,0,662534,-662534
1/4/2007,0,584634,-584634
1/5/2007,0,605614,-605614
1/6/2007,0,600379,-600379
1/7/2007,0,1375043,-1375040
1/8/2007,0,1566152,-1566150
1/9/2007,0,835365,-835365
1/10/2007,0,622352,-622352
1/11/2007,0,505589,-505589
1/12/2007,0,431438,-431438
1/13/2007,0,453923,-453923
1/14/2007,0,442408,-442408
1/15/2007,0,366133,-366133
1/16/2007,0,304449,-304449
1/17/2007,0,274802,-274802
1/18/2007,0,254905,-254905
1/19/2007,0,244506,-244506
1/20/2007,0,229213,-229213
1/21/2007,0,217308,-217308
1/22/2007,0,206826,-206826
1/23/2007,0,199571,-199571
1/24/2007,0,192998,-192998
1/25/2007,0,184760,-184760
1/26/2007,0,176690,-176690
1/27/2007,0,171098,-171098
1/28/2007,0,176537,-176537
1/29/2007,0,161226,-161226
1/30/2007,0,155456,-155456
1/31/2007,0,150842,-150842
2/1/2007,0,151881,-151881
2/2/2007,0,203075,-203075
2/3/2007,0,143427,-143427
2/4/2007,0,137105,-137105
2/5/2007,0,133721,-133721
2/6/2007,0,130524,-130524
2/7/2007,0,127466,-127466
2/8/2007,0,124536,-124536
2/9/2007,0,121706,-121706
2/10/2007,0,118764,-118764
2/11/2007,0,115954,-115954
2/12/2007,0,113266,-113266
2/13/2007,0,146393,-146393
2/14/2007,0,110531,-110531
2/15/2007,0,108373,-108373
2/16/2007,0,106303,-106303
2/17/2007,0,104296,-104296
2/18/2007,0,102321,-102321
2/19/2007,0,100400,-100400
2/20/2007,0,286379,-286379
2/21/2007,0,594833,-594833
2/22/2007,0,876838,-876838
2/23/2007,0,437084,-437084
2/24/2007,0,244924,-244924
2/25/2007,0,460192,-460192
2/26/2007,0,560708,-560708
2/27/2007,0,589764,-589764
2/28/2007,0,589553,-589553
3/1/2007,0,900242,-900242
3/2/2007,0,3382373,-3382370
3/3/2007,0,846533,-846533
3/4/2007,0,616158,-616158
3/5/2007,0,468559,-468559
3/6/2007,0,374404,-374404
3/7/2007,0,312221,-312221
3/8/2007,0,269407,-269407
3/9/2007,0,236009,-236009
3/10/2007,0,385078,-385078
3/11/2007,0,278295,-278295
3/12/2007,0,198029,-198029
3/13/2007,0,181875,-181875
3/14/2007,0,169146,-169146
3/15/2007,0,520405,-520405
3/16/2007,0,2289102,-2289100
3/17/2007,0,494962,-494962
3/18/2007,0,497293,-497293
3/19/2007,0,649167,-649167
3/20/2007,0,685843,-685843
3/21/2007,0,433176,-433176
3/22/2007,0,493225,-493225
3/23/2007,0,643627,-643627
3/24/2007,0,459956,-459956
3/25/2007,0,327912,-327912
3/26/2007,0,271413,-271413
3/27/2007,0,233116,-233116
3/28/2007,0,205174,-205174
3/29/2007,0,186202,-186202
3/30/2007,0,171851,-171851
3/31/2007,0,158676,-158676
4/1/2007,0,245094,-245094
4/2/2007,0,169078,-169078
4/3/2007,0,151422,-151422
4/4/2007,0,515151,-515151
4/5/2007,0,212042,-212042
4/6/2007,0,213975,-213975
4/7/2007,0,212512,-212512
4/8/2007,0,208301,-208301
4/9/2007,0,195649,-195649
4/10/2007,0,183304,-183304
4/11/2007,0,197255,-197255
4/12/2007,0,682327,-682327
4/13/2007,0,295209,-295209
4/14/2007,0,360980,-360980
4/15/2007,0,7552300,-7552300
4/16/2007,0,4382764,-4382760
4/17/2007,0,1824968,-1824970
4/18/2007,0,1166002,-1166000
4/19/2007,0,808475,-808475
4/20/2007,0,555147,-555147
4/21/2007,0,427514,-427514
4/22/2007,0,350391,-350391
4/23/2007,0,276450,-276450
4/24/2007,0,239902,-239902
4/25/2007,0,368869,-368869
4/26/2007,0,1287086,-1287090
4/27/2007,0,1827650,-1827650
4/28/2007,0,727506,-727506
4/29/2007,0,695409,-695409
4/30/2007,0,632688,-632688
5/1/2007,0,846634,-846634
5/2/2007,0,590400,-590400
5/3/2007,0,464842,-464842
5/4/2007,0,355977,-355977
5/5/2007,0,285597,-285597
5/6/2007,0,248004,-248004
5/7/2007,0,225714,-225714
5/8/2007,0,210582,-210582
5/9/2007,0,198099,-198099
5/10/2007,0,188535,-188535
5/11/2007,0,188044,-188044
5/12/2007,0,246764,-246764
5/13/2007,0,173487,-173487
5/14/2007,0,167309,-167309
5/15/2007,0,161578,-161578
5/16/2007,0,297172,-297172
5/17/2007,0,202324,-202324
5/18/2007,0,165396,-165396
5/19/2007,0,173553,-173553
5/20/2007,0,224526,-224526
5/21/2007,0,161896,-161896
5/22/2007,0,155180,-155180
5/23/2007,0,148726,-148726
5/24/2007,0,139910,-139910
5/25/2007,0,132461,-132461
5/26/2007,0,127099,-127099
5/27/2007,0,241829,-241829
5/28/2007,0,130292,-130292
5/29/2007,0,123940,-123940
5/30/2007,0,118759,-118759
5/31/2007,0,268616,-268616
6/1/2007,0,269535,-269535
6/2/2007,0,150207,-150207
6/3/2007,0,1320651,-1320650
6/4/2007,0,514215,-514215
6/5/2007,0,377271,-377271
6/6/2007,0,327145,-327145
6/7/2007,0,278637,-278637
6/8/2007,0,253354,-253354
6/9/2007,0,190850,-190850
6/10/2007,0,181423,-181423
6/11/2007,0,200779,-200779
6/12/2007,0,237537,-237537
6/13/2007,0,141548,-141548
6/14/2007,0,125812,-125812
6/15/2007,0,117015,-117015
6/16/2007,0,137490,-137490
6/17/2007,0,109197,-109197
6/18/2007,0,104204,-104204
6/19/2007,0,644037,-644037
6/20/2007,0,283094,-283094
6/21/2007,0,322578,-322578
6/22/2007,0,195487,-195487
6/23/2007,0,180404,-180404
6/24/2007,0,162994,-162994
6/25/2007,0,169808,-169808
6/26/2007,0,138722,-138722
6/27/2007,0,512046,-512046
6/28/2007,0,770741,-770741
6/29/2007,0,281852,-281852
6/30/2007,0,224013,-224013
7/1/2007,0,185822,-185822
7/2/2007,0,159834,-159834
7/3/2007,0,140976,-140976
7/4/2007,0,1037685,-1037680
7/5/2007,0,2310316,-2310320
7/6/2007,0,772154,-772154
7/7/2007,0,524152,-524152
7/8/2007,0,373319,-373319
7/9/2007,0,277699,-277699
7/10/2007,0,357716,-357716
7/11/2007,0,285368,-285368
7/12/2007,0,195863,-195863
7/13/2007,0,152171,-152171
7/14/2007,0,132658,-132658
7/15/2007,0,123385,-123385
7/16/2007,0,153048,-153048
7/17/2007,0,115339,-115339
7/18/2007,0,165543,-165543
7/19/2007,0,139027,-139027
7/20/2007,0,108721,-108721
7/21/2007,0,105031,-105031
7/22/2007,0,101918,-101918
7/23/2007,0,351015,-351015
7/24/2007,0,121627,-121627
7/25/2007,0,149858,-149858
7/26/2007,0,116424,-116424
7/27/2007,0,278805,-278805
7/28/2007,0,131449,-131449
7/29/2007,0,264783,-264783
7/30/2007,0,225753,-225753
7/31/2007,0,141927,-141927
8/1/2007,0,123101,-123101
8/2/2007,0,109544,-109544
8/3/2007,0,103497,-103497
8/4/2007,0,93116,-93116
8/5/2007,0,113043,-113043
8/6/2007,0,99959.1,-99959.1
8/7/2007,0,126691,-126691
8/8/2007,0,102907,-102907
8/9/2007,0,111544,-111544
8/10/2007,0,167935,-167935
8/11/2007,0,87823.6,-87823.6
8/12/2007,0,85102.4,-85102.4
8/13/2007,0,81857.5,-81857.5
8/14/2007,0,78979,-78979
8/15/2007,0,76285.7,-76285.7
8/16/2007,0,73998,-73998
8/17/2007,0,156813,-156813
8/18/2007,0,76748,-76748
8/19/2007,0,263838,-263838
8/20/2007,0,567102,-567102
8/21/2007,0,2404726,-2404730
8/22/2007,0,914705,-914705
8/23/2007,0,690711,-690711
8/24/2007,0,560674,-560674
8/25/2007,0,519636,-519636
8/26/2007,0,572977,-572977
8/27/2007,0,349774,-349774
8/28/2007,0,240015,-240015
8/29/2007,0,165834,-165834
8/30/2007,0,132145,-132145
8/31/2007,0,116202,-116202
9/1/2007,0,107812,-107812
9/2/2007,0,102480,-102480
9/3/2007,0,98450.9,-98450.9
9/4/2007,0,95522.1,-95522.1
9/5/2007,0,93172.9,-93172.9
9/6/2007,0,91145.6,-91145.6
9/7/2007,0,89315.2,-89315.2
9/8/2007,0,89420.9,-89420.9
9/9/2007,0,86062.6,-86062.6
9/10/2007,0,84573.8,-84573.8
9/11/2007,0,274072,-274072
9/12/2007,0,86710,-86710
9/13/2007,0,87341.3,-87341.3
9/14/2007,0,87466.7,-87466.7
9/15/2007,0,103418,-103418
9/16/2007,0,88423.5,-88423.5
9/17/2007,0,87839.4,-87839.4
9/18/2007,0,86826.9,-86826.9
9/19/2007,0,82405.2,-82405.2
9/20/2007,0,79020.8,-79020.8
9/21/2007,0,76341.4,-76341.4
9/22/2007,0,105742,-105742
9/23/2007,0,74900.6,-74900.6
9/24/2007,0,72948.5,-72948.5
9/25/2007,0,71291,-71291
9/26/2007,0,69826.4,-69826.4
9/27/2007,0,72361.4,-72361.4
9/28/2007,0,69548.5,-69548.5
9/29/2007,0,66608.8,-66608.8
9/30/2007,0,65572.8,-65572.8
10/1/2007,0,64640.6,-64640.6
10/2/2007,0,63782.8,-63782.8
10/3/2007,0,62982,-62982
10/4/2007,0,62226.3,-62226.3
10/5/2007,0,61506.4,-61506.4
10/6/2007,0,60820.2,-60820.2
10/7/2007,0,60163.4,-60163.4
10/8/2007,0,59531.4,-59531.4
10/9/2007,0,279416,-279416
10/10/2007,0,171158,-171158
10/11/2007,0,1057678,-1057680
10/12/2007,0,377602,-377602
10/13/2007,0,332438,-332438
10/14/2007,0,382238,-382238
10/15/2007,0,378203,-378203
10/16/2007,0,340964,-340964
10/17/2007,0,263647,-263647
10/18/2007,0,205304,-205304
10/19/2007,0,1240138,-1240140
10/20/2007,0,482972,-482972
10/21/2007,0,351956,-351956
10/22/2007,0,274472,-274472
10/23/2007,0,273683,-273683
10/24/2007,0,435331,-435331
10/25/2007,0,441224,-441224
10/26/2007,0,1810506,-1810510
10/27/2007,0,4024308,-4024310
10/28/2007,0,1389649,-1389650
10/29/2007,0,953932,-953932
10/30/2007,0,689915,-689915
10/31/2007,0,521941,-521941
11/1/2007,0,404792,-404792
11/2/2007,0,329481,-329481
11/3/2007,0,264822,-264822
11/4/2007,0,215855,-215855
11/5/2007,0,191406,-191406
11/6/2007,0,176661,-176661
11/7/2007,0,166531,-166531
11/8/2007,0,158917,-158917
11/9/2007,0,174735,-174735
11/10/2007,0,210320,-210320
11/11/2007,0,162995,-162995
11/12/2007,0,169349,-169349
11/13/2007,0,156814,-156814
11/14/2007,0,147267,-147267
11/15/2007,0,151720,-151720
11/16/2007,0,197281,-197281
11/17/2007,0,151680,-151680
11/18/2007,0,262580,-262580
11/19/2007,0,396528,-396528
11/20/2007,0,304721,-304721
11/21/2007,0,238881,-238881
11/22/2007,0,777264,-777264
11/23/2007,0,540328,-540328
11/24/2007,0,464145,-464145
11/25/2007,0,420001,-420001
11/26/2007,0,394813,-394813
11/27/2007,0,380788,-380788
11/28/2007,0,299209,-299209
11/29/2007,0,801748,-801748
11/30/2007,0,1010591,-1010590
12/1/2007,0,578157,-578157
12/2/2007,0,479173,-479173
12/3/2007,0,437335,-437335
12/4/2007,0,364670,-364670
12/5/2007,0,344086,-344086
12/6/2007,0,298281,-298281
12/7/2007,0,257727,-257727
12/8/2007,0,226730,-226730
12/9/2007,0,224047,-224047
12/10/2007,0,190704,-190704
12/11/2007,0,195019,-195019
12/12/2007,0,174379,-174379
12/13/2007,0,603008,-603008
12/14/2007,0,286622,-286622
12/15/2007,0,273759,-273759
12/16/2007,0,280063,-280063
12/17/2007,0,483297,-483297
12/18/2007,0,282174,-282174
12/19/2007,0,698460,-698460
12/20/2007,0,947568,-947568
12/21/2007,0,398703,-398703
12/22/2007,0,344419,-344419
12/23/2007,0,398676,-398676
12/24/2007,0,302754,-302754
12/25/2007,0,476211,-476211
12/26/2007,0,692229,-692229
12/27/2007,0,2080161,-2080160
12/28/2007,0,743601,-743601
12/29/2007,0,677474,-677474
12/30/2007,0,1388061,-1388060
12/31/2007,0,917550,-917550
1/1/2008,0,818564,-818564
1/2/2008,0,502226,-502226
1/3/2008,0,422694,-422694
1/4/2008,0,349070,-349070
1/5/2008,0,309291,-309291
1/6/2008,0,271121,-271121
1/7/2008,0,241372,-241372
1/8/2008,0,218990,-218990
1/9/2008,0,219414,-219414
1/10/2008,0,310313,-310313
1/11/2008,0,728873,-728873
1/12/2008,0,650922,-650922
1/13/2008,0,1134508,-1134510
1/14/2008,0,1071857,-1071860
1/15/2008,0,893976,-893976
1/16/2008,0,851545,-851545
1/17/2008,0,881044,-881044
1/18/2008,0,686491,-686491
1/19/2008,0,529866,-529866
1/20/2008,0,428119,-428119
1/21/2008,0,351218,-351218
1/22/2008,0,296302,-296302
1/23/2008,0,270970,-270970
1/24/2008,0,231381,-231381
1/25/2008,0,210401,-210401
1/26/2008,0,195403,-195403
1/27/2008,0,251193,-251193
1/28/2008,0,286629,-286629
1/29/2008,0,371046,-371046
1/30/2008,0,566177,-566177
1/31/2008,0,291027,-291027
2/1/2008,0,1276816,-1276820
2/2/2008,0,577126,-577126
2/3/2008,0,942365,-942365
2/4/2008,0,1087434,-1087430
2/5/2008,0,884270,-884270
2/6/2008,0,878446,-878446
2/7/2008,0,505616,-505616
2/8/2008,0,408757,-408757
2/9/2008,0,412063,-412063
2/10/2008,0,303814,-303814
2/11/2008,0,259115,-259115
2/12/2008,0,227798,-227798
2/13/2008,0,2013096,-2013100
2/14/2008,0,584456,-584456
2/15/2008,0,947988,-947988
2/16/2008,0,916033,-916033
2/17/2008,0,963020,-963020
2/18/2008,0,2521738,-2521740
2/19/2008,0,2167350,-2167350
2/20/2008,0,1208713,-1208710
2/21/2008,0,853892,-853892
2/22/2008,0,627230,-627230
2/23/2008,0,706129,-706129
2/24/2008,0,451778,-451778
2/25/2008,0,568541,-568541
2/26/2008,0,1169538,-1169540
2/27/2008,0,582655,-582655
2/28/2008,0,394675,-394675
3/1/2008,0,489009,-489009
3/2/2008,0,410860,-410860
3/3/2008,0,388995,-388995
3/4/2008,0,1674798,-1674800
3/5/2008,0,1683992,-1683990
3/6/2008,0,643044,-643044
3/7/2008,0,1703811,-1703810
3/8/2008,0,3566725,-3566720
3/9/2008,0,1079859,-1079860
3/10/2008,0,823887,-823887
3/11/2008,0,650531,-650531
3/12/2008,0,507161,-507161
3/13/2008,0,413502,-413502
3/14/2008,0,394905,-394905
3/15/2008,0,354971,-354971
3/16/2008,0,334972,-334972
3/17/2008,0,276291,-276291
3/18/2008,0,276618,-276618
3/19/2008,0,1425842,-1425840
3/20/2008,0,565249,-565249
3/21/2008,0,530104,-530104
3/22/2008,0,504379,-504379
3/23/2008,0,463539,-463539
3/24/2008,0,417556,-417556
3/25/2008,0,376419,-376419
3/26/2008,0,338442,-338442
3/27/2008,0,296149,-296149
3/28/2008,0,253054,-253054
3/29/2008,0,228221,-228221
3/30/2008,0,211627,-211627
3/31/2008,0,300239,-300239
4/1/2008,0,275094,-275094
4/2/2008,0,209733,-209733
4/3/2008,0,296144,-296144
4/4/2008,0,406907,-406907
4/5/2008,0,275476,-275476
4/6/2008,0,250784,-250784
4/7/2008,0,240983,-240983
4/8/2008,0,223889,-223889
4/9/2008,0,206337,-206337
4/10/2008,0,191520,-191520
4/11/2008,0,427638,-427638
4/12/2008,0,258971,-258971
4/13/2008,0,210271,-210271
4/14/2008,0,192936,-192936
4/15/2008,0,180039,-180039
4/16/2008,0,169211,-169211
4/17/2008,0,159677,-159677
4/18/2008,0,151102,-151102
4/19/2008,0,140439,-140439
4/20/2008,0,132303,-132303
4/21/2008,0,126243,-126243
4/22/2008,0,121453,-121453
4/23/2008,0,117416,-117416
4/24/2008,0,113903,-113903
4/25/2008,0,112901,-112901
4/26/2008,0,149814,-149814
4/27/2008,0,135749,-135749
4/28/2008,0,1137573,-1137570
4/29/2008,0,222327,-222327
4/30/2008,0,273648,-273648
5/1/2008,0,303128,-303128
5/2/2008,0,301435,-301435
5/3/2008,0,328199,-328199
5/4/2008,0,267516,-267516
5/5/2008,0,230900,-230900
5/6/2008,0,177061,-177061
5/7/2008,0,146437,-146437
5/8/2008,0,154516,-154516
5/9/2008,0,971507,-971507
5/10/2008,0,299885,-299885
5/11/2008,0,277135,-277135
5/12/2008,0,647890,-647890
5/13/2008,0,355355,-355355
5/14/2008,0,317079,-317079
5/15/2008,0,281597,-281597
5/16/2008,0,1230250,-1230250
5/17/2008,0,602577,-602577
5/18/2008,0,732280,-732280
5/19/2008,0,444056,-444056
5/20/2008,0,786422,-786422
5/21/2008,0,456018,-456018
5/22/2008,0,395856,-395856
5/23/2008,0,309976,-309976
5/24/2008,0,240161,-240161
5/25/2008,0,200762,-200762
5/26/2008,0,173496,-173496
5/27/2008,0,318239,-318239
5/28/2008,0,178001,-178001
5/29/2008,0,159060,-159060
5/30/2008,0,146221,-146221
5/31/2008,0,576371,-576371
6/1/2008,0,210201,-210201
6/2/2008,0,195271,-195271
6/3/2008,0,609828,-609828
6/4/2008,0,1247954,-1247950
6/5/2008,0,548239,-548239
6/6/2008,0,425855,-425855
6/7/2008,0,338675,-338675
6/8/2008,0,248449,-248449
6/9/2008,0,196937,-196937
6/10/2008,0,333221,-333221
6/11/2008,0,195187,-195187
6/12/2008,0,157022,-157022
6/13/2008,0,138190,-138190
6/14/2008,0,281134,-281134
6/15/2008,0,142705,-142705
6/16/2008,0,153398,-153398
6/17/2008,0,128231,-128231
6/18/2008,0,209749,-209749
6/19/2008,0,127841,-127841
6/20/2008,0,121387,-121387
6/21/2008,0,115708,-115708
6/22/2008,0,110822,-110822
6/23/2008,0,154212,-154212
6/24/2008,0,105975,-105975
6/25/2008,0,101717,-101717
6/26/2008,0,102010,-102010
6/27/2008,0,96583,-96583
6/28/2008,0,152710,-152710
6/29/2008,0,105536,-105536
6/30/2008,0,96111.6,-96111.6
7/1/2008,0,89172.2,-89172.2
7/2/2008,0,86745.2,-86745.2
7/3/2008,0,103877,-103877
7/4/2008,0,156975,-156975
7/5/2008,0,121627,-121627
7/6/2008,0,86621.4,-86621.4
7/7/2008,0,117612,-117612
7/8/2008,0,84224.8,-84224.8
7/9/2008,0,135001,-135001
