Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Wallenpoupack"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Wallenpoupack","Inflow from Upstream","Outflow to Downstream"
3/3/2006,0,304742,-304742
3/4/2006,0,292713,-292713
3/5/2006,0,281621,-281621
3/6/2006,0,271281,-271281
3/7/2006,0,261726,-261726
3/8/2006,0,421730,-421730
3/9/2006,0,1403716,-1403720
3/10/2006,0,747177,-747177
3/11/2006,0,300855,-300855
3/12/2006,0,698372,-698372
3/13/2006,0,3162976,-3162980
3/14/2006,0,672203,-672203
3/15/2006,0,503047,-503047
3/16/2006,0,507643,-507643
3/17/2006,0,483216,-483216
3/18/2006,0,451905,-451905
3/19/2006,0,424281,-424281
3/20/2006,0,396138,-396138
3/21/2006,0,352624,-352624
3/22/2006,0,318166,-318166
3/23/2006,0,294238,-294238
3/24/2006,0,289469,-289469
3/25/2006,0,304193,-304193
3/26/2006,0,321790,-321790
3/27/2006,0,262927,-262927
3/28/2006,0,238307,-238307
3/29/2006,0,216437,-216437
3/30/2006,0,204481,-204481
3/31/2006,0,197628,-197628
4/1/2006,0,587503,-587503
4/2/2006,0,190172,-190172
4/3/2006,0,1079869,-1079870
4/4/2006,0,658544,-658544
4/5/2006,0,455937,-455937
4/6/2006,0,297048,-297048
4/7/2006,0,1215069,-1215070
4/8/2006,0,581132,-581132
4/9/2006,0,409908,-409908
4/10/2006,0,413374,-413374
4/11/2006,0,385977,-385977
4/12/2006,0,347528,-347528
4/13/2006,0,398321,-398321
4/14/2006,0,886955,-886955
4/15/2006,0,390698,-390698
4/16/2006,0,312746,-312746
4/17/2006,0,270500,-270500
4/18/2006,0,238576,-238576
4/19/2006,0,212766,-212766
4/20/2006,0,192129,-192129
4/21/2006,0,184076,-184076
4/22/2006,0,4201087,-4201090
4/23/2006,0,3510840,-3510840
4/24/2006,0,3729832,-3729830
4/25/2006,0,1839005,-1839000
4/26/2006,0,1537437,-1537440
4/27/2006,0,1398950,-1398950
4/28/2006,0,1215132,-1215130
4/29/2006,0,1031005,-1031000
4/30/2006,0,732376,-732376
5/1/2006,0,515224,-515224
5/2/2006,0,371163,-371163
5/3/2006,0,286215,-286215
5/4/2006,0,234784,-234784
5/5/2006,0,202505,-202505
5/6/2006,0,182215,-182215
5/7/2006,0,169238,-169238
5/8/2006,0,160034,-160034
5/9/2006,0,152948,-152948
5/10/2006,0,147317,-147317
5/11/2006,0,1583585,-1583590
5/12/2006,0,906479,-906479
5/13/2006,0,1320940,-1320940
5/14/2006,0,546485,-546485
5/15/2006,0,1734115,-1734120
5/16/2006,0,1119728,-1119730
5/17/2006,0,889325,-889325
5/18/2006,0,1148573,-1148570
5/19/2006,0,2162065,-2162070
5/20/2006,0,1101998,-1102000
5/21/2006,0,918984,-918984
5/22/2006,0,676293,-676293
5/23/2006,0,510787,-510787
5/24/2006,0,404229,-404229
5/25/2006,0,327704,-327704
5/26/2006,0,663501,-663501
5/27/2006,0,300343,-300343
5/28/2006,0,241837,-241837
5/29/2006,0,205501,-205501
5/30/2006,0,880521,-880521
5/31/2006,0,267104,-267104
6/1/2006,0,386520,-386520
6/2/2006,0,362361,-362361
6/3/2006,0,1242308,-1242310
6/4/2006,0,699765,-699765
6/5/2006,0,358030,-358030
6/6/2006,0,328045,-328045
6/7/2006,0,1654156,-1654160
6/8/2006,0,560848,-560848
6/9/2006,0,1090409,-1090410
6/10/2006,0,563454,-563454
6/11/2006,0,424842,-424842
6/12/2006,0,343631,-343631
6/13/2006,0,281865,-281865
6/14/2006,0,558945,-558945
6/15/2006,0,252085,-252085
6/16/2006,0,205890,-205890
6/17/2006,0,172768,-172768
6/18/2006,0,150877,-150877
6/19/2006,0,287945,-287945
6/20/2006,0,191618,-191618
6/21/2006,0,134672,-134672
6/22/2006,0,175012,-175012
6/23/2006,0,162221,-162221
6/24/2006,0,638926,-638926
6/25/2006,0,9470859,-9470860
6/26/2006,0,19196096,-19196100
6/27/2006,0,39295892,-39295900
6/28/2006,0,13893390,-13893400
6/29/2006,0,5017566,-5017570
6/30/2006,0,4199614,-4199610
7/1/2006,0,2406710,-2406710
7/2/2006,0,1955177,-1955180
7/3/2006,0,1042594,-1042590
7/4/2006,0,714907,-714907
7/5/2006,0,566539,-566539
7/6/2006,0,357664,-357664
7/7/2006,0,292872,-292872
7/8/2006,0,262177,-262177
7/9/2006,0,315413,-315413
7/10/2006,0,238351,-238351
7/11/2006,0,281874,-281874
7/12/2006,0,674029,-674029
7/13/2006,0,312752,-312752
7/14/2006,0,233227,-233227
7/15/2006,0,553318,-553318
7/16/2006,0,237133,-237133
7/17/2006,0,224657,-224657
7/18/2006,0,314384,-314384
7/19/2006,0,226320,-226320
7/20/2006,0,200186,-200186
7/21/2006,0,1039678,-1039680
7/22/2006,0,2867855,-2867850
7/23/2006,0,467442,-467442
7/24/2006,0,454126,-454126
7/25/2006,0,422932,-422932
7/26/2006,0,421642,-421642
7/27/2006,0,899456,-899456
7/28/2006,0,1484436,-1484440
7/29/2006,0,558794,-558794
7/30/2006,0,429139,-429139
7/31/2006,0,309800,-309800
8/1/2006,0,336170,-336170
8/2/2006,0,226442,-226442
8/3/2006,0,460908,-460908
8/4/2006,0,212833,-212833
8/5/2006,0,185190,-185190
8/6/2006,0,175338,-175338
8/7/2006,0,512542,-512542
8/8/2006,0,178803,-178803
8/9/2006,0,166842,-166842
8/10/2006,0,158396,-158396
8/11/2006,0,149899,-149899
8/12/2006,0,143700,-143700
8/13/2006,0,138822,-138822
8/14/2006,0,136662,-136662
8/15/2006,0,687524,-687524
8/16/2006,0,195021,-195021
8/17/2006,0,150667,-150667
8/18/2006,0,144749,-144749
8/19/2006,0,447850,-447850
8/20/2006,0,197056,-197056
8/21/2006,0,155228,-155228
8/22/2006,0,148708,-148708
8/23/2006,0,136111,-136111
8/24/2006,0,129887,-129887
8/25/2006,0,300569,-300569
8/26/2006,0,686337,-686337
8/27/2006,0,4574892,-4574890
8/28/2006,0,1190669,-1190670
8/29/2006,0,13498596,-13498600
8/30/2006,0,2482242,-2482240
8/31/2006,0,2312948,-2312950
9/1/2006,0,3451713,-3451710
9/2/2006,0,5871088,-5871090
9/3/2006,0,3000574,-3000570
9/4/2006,0,1736819,-1736820
9/5/2006,0,1422195,-1422190
9/6/2006,0,788462,-788462
9/7/2006,0,540332,-540332
9/8/2006,0,404252,-404252
9/9/2006,0,789371,-789371
9/10/2006,0,348962,-348962
9/11/2006,0,291047,-291047
9/12/2006,0,257350,-257350
9/13/2006,0,280920,-280920
9/14/2006,0,5306283,-5306280
9/15/2006,0,5296938,-5296940
9/16/2006,0,1554724,-1554720
9/17/2006,0,1433659,-1433660
9/18/2006,0,1277854,-1277850
9/19/2006,0,1377390,-1377390
9/20/2006,0,1090735,-1090740
9/21/2006,0,896470,-896470
9/22/2006,0,649921,-649921
9/23/2006,0,548307,-548307
9/24/2006,0,440868,-440868
9/25/2006,0,323176,-323176
9/26/2006,0,278561,-278561
9/27/2006,0,248442,-248442
9/28/2006,0,3385978,-3385980
9/29/2006,0,837321,-837321
9/30/2006,0,795781,-795781
10/1/2006,0,1684904,-1684900
10/2/2006,0,859090,-859090
10/3/2006,0,818822,-818822
10/4/2006,0,2431800,-2431800
10/5/2006,0,1182036,-1182040
10/6/2006,0,918747,-918747
10/7/2006,0,722911,-722911
10/8/2006,0,587407,-587407
10/9/2006,0,472838,-472838
10/10/2006,0,393188,-393188
10/11/2006,0,608417,-608417
10/12/2006,0,762464,-762464
10/13/2006,0,380215,-380215
10/14/2006,0,343438,-343438
10/15/2006,0,315756,-315756
10/16/2006,0,293875,-293875
10/17/2006,0,3144210,-3144210
10/18/2006,0,752526,-752526
10/19/2006,0,1741630,-1741630
10/20/2006,0,3302866,-3302870
10/21/2006,0,1359071,-1359070
10/22/2006,0,1291097,-1291100
10/23/2006,0,1167582,-1167580
10/24/2006,0,1046567,-1046570
10/25/2006,0,837926,-837926
10/26/2006,0,688295,-688295
10/27/2006,0,1214554,-1214550
10/28/2006,0,8391509,-8391510
10/29/2006,0,2607564,-2607560
10/30/2006,0,1961520,-1961520
10/31/2006,0,1701040,-1701040
11/1/2006,0,2108930,-2108930
11/2/2006,0,2190070,-2190070
11/3/2006,0,1492760,-1492760
11/4/2006,0,1253040,-1253040
11/5/2006,0,918492,-918492
11/6/2006,0,710414,-710414
11/7/2006,0,658432,-658432
11/8/2006,0,5617110,-5617110
11/9/2006,0,1531580,-1531580
11/10/2006,0,1344060,-1344060
11/11/2006,0,1194430,-1194430
11/12/2006,0,2418800,-2418800
11/13/2006,0,1590020,-1590020
11/14/2006,0,1473110,-1473110
11/15/2006,0,1201340,-1201340
11/16/2006,0,9992750,-9992750
11/17/2006,0,2831250,-2831250
11/18/2006,0,2291940,-2291940
11/19/2006,0,1885550,-1885550
11/20/2006,0,1521870,-1521870
11/21/2006,0,1262150,-1262150
11/22/2006,0,1101880,-1101880
11/23/2006,0,2270070,-2270070
11/24/2006,0,1126530,-1126530
11/25/2006,0,908912,-908912
11/26/2006,0,770240,-770240
11/27/2006,0,674602,-674602
11/28/2006,0,604430,-604430
11/29/2006,0,551474,-551474
11/30/2006,0,508794,-508794
12/1/2006,0,2168220,-2168220
12/2/2006,0,1119070,-1119070
12/3/2006,0,1327120,-1327120
12/4/2006,0,1036880,-1036880
12/5/2006,0,807278,-807278
12/6/2006,0,781712,-781712
12/7/2006,0,770034,-770034
12/8/2006,0,727004,-727004
12/9/2006,0,647566,-647566
12/10/2006,0,579078,-579078
12/11/2006,0,517108,-517108
12/12/2006,0,464899,-464899
12/13/2006,0,877678,-877678
12/14/2006,0,483013,-483013
12/15/2006,0,544228,-544228
12/16/2006,0,429203,-429203
12/17/2006,0,405527,-405527
12/18/2006,0,652068,-652068
12/19/2006,0,387060,-387060
12/20/2006,0,371921,-371921
12/21/2006,0,349695,-349695
12/22/2006,0,1421330,-1421330
12/23/2006,0,958082,-958082
12/24/2006,0,444648,-444648
12/25/2006,0,1403080,-1403080
12/26/2006,0,891994,-891994
12/27/2006,0,684772,-684772
12/28/2006,0,666814,-666814
12/29/2006,0,655796,-655796
12/30/2006,0,614564,-614564
12/31/2006,0,563008,-563008
1/1/2007,0,2223447,-2223450
1/2/2007,0,739106,-739106
1/3/2007,0,970420,-970420
1/4/2007,0,1087200,-1087200
1/5/2007,0,3539278,-3539280
1/6/2007,0,2901895,-2901900
1/7/2007,0,4770652,-4770650
1/8/2007,0,6948030,-6948030
1/9/2007,0,2367358,-2367360
1/10/2007,0,1908085,-1908090
1/11/2007,0,1650193,-1650190
1/12/2007,0,1414240,-1414240
1/13/2007,0,1933358,-1933360
1/14/2007,0,1849996,-1850000
1/15/2007,0,2866083,-2866080
1/16/2007,0,1409211,-1409210
1/17/2007,0,1127518,-1127520
1/18/2007,0,968506,-968506
1/19/2007,0,854374,-854374
1/20/2007,0,770138,-770138
1/21/2007,0,690768,-690768
1/22/2007,0,618873,-618873
1/23/2007,0,540634,-540634
1/24/2007,0,482802,-482802
1/25/2007,0,439092,-439092
1/26/2007,0,405890,-405890
1/27/2007,0,379524,-379524
1/28/2007,0,356996,-356996
1/29/2007,0,337763,-337763
1/30/2007,0,321651,-321651
1/31/2007,0,307597,-307597
2/1/2007,0,294972,-294972
2/2/2007,0,285229,-285229
2/3/2007,0,272640,-272640
2/4/2007,0,263112,-263112
2/5/2007,0,254663,-254663
2/6/2007,0,246909,-246909
2/7/2007,0,239610,-239610
2/8/2007,0,232718,-232718
2/9/2007,0,226199,-226199
2/10/2007,0,220026,-220026
2/11/2007,0,214182,-214182
2/12/2007,0,208552,-208552
2/13/2007,0,203087,-203087
2/14/2007,0,197875,-197875
2/15/2007,0,192967,-192967
2/16/2007,0,188313,-188313
2/17/2007,0,183834,-183834
2/18/2007,0,179488,-179488
2/19/2007,0,175319,-175319
2/20/2007,0,188198,-188198
2/21/2007,0,1221117,-1221120
2/22/2007,0,2647561,-2647560
2/23/2007,0,279196,-279196
2/24/2007,0,306620,-306620
2/25/2007,0,332755,-332755
2/26/2007,0,389563,-389563
2/27/2007,0,1930111,-1930110
2/28/2007,0,1921826,-1921830
3/1/2007,0,1929250,-1929250
3/2/2007,0,9777212,-9777210
3/3/2007,0,7973084,-7973080
3/4/2007,0,2420076,-2420080
3/5/2007,0,1985419,-1985420
3/6/2007,0,1737021,-1737020
3/7/2007,0,1464484,-1464480
3/8/2007,0,1211886,-1211890
3/9/2007,0,1002238,-1002240
3/10/2007,0,1253411,-1253410
3/11/2007,0,1893393,-1893390
3/12/2007,0,1770765,-1770770
3/13/2007,0,1297258,-1297260
3/14/2007,0,695149,-695149
3/15/2007,0,2473072,-2473070
3/16/2007,0,2780194,-2780190
3/17/2007,0,850607,-850607
3/18/2007,0,812397,-812397
3/19/2007,0,749648,-749648
3/20/2007,0,683000,-683000
3/21/2007,0,619351,-619351
3/22/2007,0,3300869,-3300870
3/23/2007,0,5544411,-5544410
3/24/2007,0,1969953,-1969950
3/25/2007,0,1072166,-1072170
3/26/2007,0,1280078,-1280080
3/27/2007,0,838078,-838078
3/28/2007,0,717925,-717925
3/29/2007,0,626535,-626535
3/30/2007,0,529877,-529877
3/31/2007,0,432410,-432410
4/1/2007,0,1886482,-1886480
4/2/2007,0,463954,-463954
4/3/2007,0,382576,-382576
4/4/2007,0,1326059,-1326060
4/5/2007,0,511147,-511147
4/6/2007,0,474767,-474767
4/7/2007,0,457993,-457993
4/8/2007,0,443470,-443470
4/9/2007,0,431921,-431921
4/10/2007,0,404900,-404900
4/11/2007,0,439804,-439804
4/12/2007,0,2063098,-2063100
4/13/2007,0,976997,-976997
4/14/2007,0,822566,-822566
4/15/2007,0,16674765,-16674800
4/16/2007,0,8059647,-8059650
4/17/2007,0,5668700,-5668700
4/18/2007,0,4056682,-4056680
4/19/2007,0,2632064,-2632060
4/20/2007,0,1868976,-1868980
4/21/2007,0,1355789,-1355790
4/22/2007,0,1014481,-1014480
4/23/2007,0,682359,-682359
4/24/2007,0,497776,-497776
4/25/2007,0,2097658,-2097660
4/26/2007,0,551081,-551081
4/27/2007,0,986172,-986172
4/28/2007,0,598500,-598500
4/29/2007,0,515767,-515767
4/30/2007,0,532134,-532134
5/1/2007,0,1358292,-1358290
5/2/2007,0,610272,-610272
5/3/2007,0,521306,-521306
5/4/2007,0,465872,-465872
5/5/2007,0,409854,-409854
5/6/2007,0,365306,-365306
5/7/2007,0,330850,-330850
5/8/2007,0,302317,-302317
5/9/2007,0,271624,-271624
5/10/2007,0,677924,-677924
5/11/2007,0,280481,-280481
5/12/2007,0,357318,-357318
5/13/2007,0,252120,-252120
5/14/2007,0,238585,-238585
5/15/2007,0,226715,-226715
5/16/2007,0,710384,-710384
5/17/2007,0,258712,-258712
5/18/2007,0,253312,-253312
5/19/2007,0,293834,-293834
5/20/2007,0,312943,-312943
5/21/2007,0,222421,-222421
5/22/2007,0,211446,-211446
5/23/2007,0,201551,-201551
5/24/2007,0,188273,-188273
5/25/2007,0,178259,-178259
5/26/2007,0,185893,-185893
5/27/2007,0,225107,-225107
5/28/2007,0,175979,-175979
5/29/2007,0,156912,-156912
5/30/2007,0,152164,-152164
5/31/2007,0,192402,-192402
6/1/2007,0,147505,-147505
6/2/2007,0,150317,-150317
6/3/2007,0,610050,-610050
6/4/2007,0,294670,-294670
6/5/2007,0,158542,-158542
6/6/2007,0,154412,-154412
6/7/2007,0,150956,-150956
6/8/2007,0,1275030,-1275030
6/9/2007,0,243436,-243436
6/10/2007,0,427295,-427295
6/11/2007,0,346250,-346250
6/12/2007,0,1118248,-1118250
6/13/2007,0,373951,-373951
6/14/2007,0,298076,-298076
6/15/2007,0,267831,-267831
6/16/2007,0,403162,-403162
6/17/2007,0,217464,-217464
6/18/2007,0,180559,-180559
6/19/2007,0,1218476,-1218480
6/20/2007,0,301571,-301571
6/21/2007,0,661312,-661312
6/22/2007,0,258118,-258118
6/23/2007,0,228589,-228589
6/24/2007,0,201455,-201455
6/25/2007,0,178003,-178003
6/26/2007,0,157501,-157501
6/27/2007,0,1093332,-1093330
6/28/2007,0,961306,-961306
6/29/2007,0,273627,-273627
6/30/2007,0,236550,-236550
7/1/2007,0,204215,-204215
7/2/2007,0,181150,-181150
7/3/2007,0,163147,-163147
7/4/2007,0,648038,-648038
7/5/2007,0,975731,-975731
7/6/2007,0,490092,-490092
7/7/2007,0,238620,-238620
7/8/2007,0,294247,-294247
7/9/2007,0,191392,-191392
7/10/2007,0,218733,-218733
7/11/2007,0,339425,-339425
7/12/2007,0,151449,-151449
7/13/2007,0,159930,-159930
7/14/2007,0,115385,-115385
7/15/2007,0,345297,-345297
7/16/2007,0,115818,-115818
7/17/2007,0,105928,-105928
7/18/2007,0,853283,-853283
7/19/2007,0,869407,-869407
7/20/2007,0,199215,-199215
7/21/2007,0,187936,-187936
7/22/2007,0,174674,-174674
7/23/2007,0,7967921,-7967920
7/24/2007,0,1182208,-1182210
7/25/2007,0,1295205,-1295200
7/26/2007,0,956929,-956929
7/27/2007,0,3289669,-3289670
7/28/2007,0,1158926,-1158930
7/29/2007,0,1769992,-1769990
7/30/2007,0,923169,-923169
7/31/2007,0,536724,-536724
8/1/2007,0,348939,-348939
8/2/2007,0,247635,-247635
8/3/2007,0,626681,-626681
8/4/2007,0,222363,-222363
8/5/2007,0,176236,-176236
8/6/2007,0,224153,-224153
8/7/2007,0,1507385,-1507380
8/8/2007,0,1986202,-1986200
8/9/2007,0,732778,-732778
8/10/2007,0,3952656,-3952660
8/11/2007,0,937984,-937984
8/12/2007,0,845310,-845310
8/13/2007,0,715188,-715188
8/14/2007,0,588333,-588333
8/15/2007,0,438839,-438839
8/16/2007,0,328883,-328883
8/17/2007,0,328051,-328051
8/18/2007,0,200738,-200738
8/19/2007,0,165719,-165719
8/20/2007,0,1106835,-1106830
8/21/2007,0,3099642,-3099640
8/22/2007,0,625617,-625617
8/23/2007,0,557377,-557377
8/24/2007,0,516861,-516861
8/25/2007,0,537188,-537188
8/26/2007,0,559185,-559185
8/27/2007,0,382587,-382587
8/28/2007,0,300570,-300570
8/29/2007,0,220189,-220189
8/30/2007,0,172796,-172796
8/31/2007,0,145292,-145292
9/1/2007,0,129440,-129440
9/2/2007,0,119596,-119596
9/3/2007,0,112657,-112657
9/4/2007,0,107780,-107780
9/5/2007,0,104206,-104206
9/6/2007,0,101416,-101416
9/7/2007,0,99102,-99102
9/8/2007,0,170146,-170146
9/9/2007,0,98057.9,-98057.9
9/10/2007,0,102207,-102207
9/11/2007,0,816373,-816373
9/12/2007,0,114099,-114099
9/13/2007,0,118803,-118803
9/14/2007,0,179209,-179209
9/15/2007,0,355340,-355340
9/16/2007,0,151513,-151513
9/17/2007,0,152016,-152016
9/18/2007,0,150780,-150780
9/19/2007,0,134165,-134165
9/20/2007,0,121082,-121082
9/21/2007,0,110538,-110538
9/22/2007,0,108340,-108340
9/23/2007,0,94794.6,-94794.6
9/24/2007,0,89182.2,-89182.2
9/25/2007,0,84916.9,-84916.9
9/26/2007,0,124276,-124276
9/27/2007,0,600758,-600758
9/28/2007,0,353353,-353353
9/29/2007,0,122001,-122001
9/30/2007,0,123359,-123359
10/1/2007,0,123334,-123334
10/2/2007,0,121874,-121874
10/3/2007,0,118946,-118946
10/4/2007,0,113266,-113266
10/5/2007,0,101074,-101074
10/6/2007,0,118634,-118634
10/7/2007,0,85436.4,-85436.4
10/8/2007,0,79551.2,-79551.2
10/9/2007,0,3482260,-3482260
10/10/2007,0,614099,-614099
10/11/2007,0,13065041,-13065000
10/12/2007,0,4225147,-4225150
10/13/2007,0,2689832,-2689830
10/14/2007,0,2616188,-2616190
10/15/2007,0,2263373,-2263370
10/16/2007,0,1835908,-1835910
10/17/2007,0,1239234,-1239230
10/18/2007,0,872159,-872159
10/19/2007,0,4030215,-4030210
10/20/2007,0,1308590,-1308590
10/21/2007,0,921948,-921948
10/22/2007,0,699852,-699852
10/23/2007,0,1715126,-1715130
10/24/2007,0,2448642,-2448640
10/25/2007,0,1876687,-1876690
10/26/2007,0,4151163,-4151160
10/27/2007,0,10156368,-10156400
10/28/2007,0,3108954,-3108950
10/29/2007,0,2537989,-2537990
10/30/2007,0,2049734,-2049730
10/31/2007,0,1583894,-1583890
11/1/2007,0,1200404,-1200400
11/2/2007,0,937868,-937868
11/3/2007,0,727829,-727829
11/4/2007,0,543188,-543188
11/5/2007,0,437842,-437842
11/6/2007,0,373131,-373131
11/7/2007,0,331289,-331289
11/8/2007,0,303061,-303061
11/9/2007,0,475807,-475807
11/10/2007,0,359587,-359587
11/11/2007,0,317352,-317352
11/12/2007,0,398097,-398097
11/13/2007,0,462755,-462755
11/14/2007,0,358000,-358000
11/15/2007,0,378633,-378633
11/16/2007,0,837979,-837979
11/17/2007,0,425394,-425394
11/18/2007,0,2528294,-2528290
11/19/2007,0,1546484,-1546480
11/20/2007,0,1793314,-1793310
11/21/2007,0,822594,-822594
11/22/2007,0,3587994,-3587990
11/23/2007,0,2209214,-2209210
11/24/2007,0,1276514,-1276510
11/25/2007,0,1167684,-1167680
11/26/2007,0,995140,-995140
11/27/2007,0,837132,-837132
11/28/2007,0,705453,-705453
11/29/2007,0,1989304,-1989300
11/30/2007,0,1071084,-1071080
12/1/2007,0,907731,-907731
12/2/2007,0,680350,-680350
12/3/2007,0,614053,-614053
12/4/2007,0,557371,-557371
12/5/2007,0,516072,-516072
12/6/2007,0,483359,-483359
12/7/2007,0,435636,-435636
12/8/2007,0,394584,-394584
12/9/2007,0,364947,-364947
12/10/2007,0,330870,-330870
12/11/2007,0,307166,-307166
12/12/2007,0,352844,-352844
12/13/2007,0,414478,-414478
12/14/2007,0,271762,-271762
12/15/2007,0,259473,-259473
12/16/2007,0,248772,-248772
12/17/2007,0,239188,-239188
12/18/2007,0,230595,-230595
12/19/2007,0,222688,-222688
12/20/2007,0,238692,-238692
12/21/2007,0,208454,-208454
12/22/2007,0,200998,-200998
12/23/2007,0,363481,-363481
12/24/2007,0,194070,-194070
12/25/2007,0,187953,-187953
12/26/2007,0,204578,-204578
12/27/2007,0,1711674,-1711670
12/28/2007,0,228021,-228021
12/29/2007,0,232668,-232668
12/30/2007,0,260436,-260436
12/31/2007,0,253478,-253478
1/1/2008,0,558239,-558239
1/2/2008,0,261882,-261882
1/3/2008,0,264242,-264242
1/4/2008,0,249840,-249840
1/5/2008,0,236491,-236491
1/6/2008,0,225368,-225368
1/7/2008,0,211798,-211798
1/8/2008,0,199851,-199851
1/9/2008,0,565669,-565669
1/10/2008,0,338748,-338748
1/11/2008,0,3499337,-3499340
1/12/2008,0,1718574,-1718570
1/13/2008,0,2250362,-2250360
1/14/2008,0,2586429,-2586430
1/15/2008,0,881285,-881285
1/16/2008,0,919818,-919818
1/17/2008,0,910992,-910992
1/18/2008,0,874140,-874140
1/19/2008,0,755763,-755763
1/20/2008,0,644862,-644862
1/21/2008,0,544413,-544413
1/22/2008,0,455628,-455628
1/23/2008,0,389582,-389582
1/24/2008,0,340211,-340211
1/25/2008,0,303458,-303458
1/26/2008,0,275678,-275678
1/27/2008,0,253757,-253757
1/28/2008,0,235831,-235831
1/29/2008,0,220865,-220865
1/30/2008,0,333190,-333190
1/31/2008,0,206401,-206401
2/1/2008,0,636843,-636843
2/2/2008,0,578525,-578525
2/3/2008,0,699369,-699369
2/4/2008,0,1749529,-1749530
2/5/2008,0,4556173,-4556170
2/6/2008,0,12116207,-12116200
2/7/2008,0,6551381,-6551380
2/8/2008,0,7326165,-7326160
2/9/2008,0,8205419,-8205420
2/10/2008,0,3077763,-3077760
2/11/2008,0,2529777,-2529780
2/12/2008,0,2004361,-2004360
2/13/2008,0,1516345,-1516350
2/14/2008,0,1086769,-1086770
2/15/2008,0,806211,-806211
2/16/2008,0,618404,-618404
2/17/2008,0,489452,-489452
2/18/2008,0,3655216,-3655220
2/19/2008,0,1956340,-1956340
2/20/2008,0,725440,-725440
2/21/2008,0,693062,-693062
2/22/2008,0,667728,-667728
2/23/2008,0,642704,-642704
2/24/2008,0,617226,-617226
2/25/2008,0,590569,-590569
2/26/2008,0,524982,-524982
2/27/2008,0,459672,-459672
2/28/2008,0,410439,-410439
3/1/2008,0,581602,-581602
3/2/2008,0,1042422,-1042420
3/3/2008,0,3199484,-3199480
3/4/2008,0,14783307,-14783300
3/5/2008,0,21929710,-21929700
3/6/2008,0,14341411,-14341400
3/7/2008,0,19744514,-19744500
3/8/2008,0,23299016,-23299000
3/9/2008,0,8297718,-8297720
3/10/2008,0,4318700,-4318700
3/11/2008,0,5258713,-5258710
3/12/2008,0,6185885,-6185880
3/13/2008,0,5139828,-5139830
3/14/2008,0,7800790,-7800790
3/15/2008,0,4159832,-4159830
3/16/2008,0,2247514,-2247510
3/17/2008,0,1493577,-1493580
3/18/2008,0,1406289,-1406290
3/19/2008,0,8688421,-8688420
3/20/2008,0,2584594,-2584590
3/21/2008,0,1664746,-1664750
3/22/2008,0,1387228,-1387230
3/23/2008,0,1180940,-1180940
3/24/2008,0,1029953,-1029950
3/25/2008,0,915329,-915329
3/26/2008,0,835636,-835636
3/27/2008,0,959570,-959570
3/28/2008,0,939353,-939353
3/29/2008,0,678587,-678587
3/30/2008,0,601573,-601573
3/31/2008,0,1515329,-1515330
4/1/2008,0,2668491,-2668490
4/2/2008,0,702718,-702718
4/3/2008,0,902352,-902352
4/4/2008,0,2906088,-2906090
4/5/2008,0,1320110,-1320110
4/6/2008,0,964079,-964079
4/7/2008,0,795999,-795999
4/8/2008,0,722125,-722125
4/9/2008,0,631022,-631022
4/10/2008,0,557520,-557520
4/11/2008,0,1835584,-1835580
4/12/2008,0,1584657,-1584660
4/13/2008,0,814551,-814551
4/14/2008,0,582760,-582760
4/15/2008,0,534340,-534340
4/16/2008,0,492081,-492081
4/17/2008,0,453186,-453186
4/18/2008,0,417306,-417306
4/19/2008,0,375986,-375986
4/20/2008,0,339645,-339645
4/21/2008,0,312646,-312646
4/22/2008,0,292415,-292415
4/23/2008,0,276496,-276496
4/24/2008,0,263460,-263460
4/25/2008,0,252989,-252989
4/26/2008,0,412312,-412312
4/27/2008,0,246723,-246723
4/28/2008,0,2179004,-2179000
4/29/2008,0,372900,-372900
4/30/2008,0,406067,-406067
5/1/2008,0,957198,-957198
5/2/2008,0,548019,-548019
5/3/2008,0,1428005,-1428000
5/4/2008,0,791206,-791206
5/5/2008,0,694358,-694358
5/6/2008,0,560688,-560688
5/7/2008,0,460228,-460228
5/8/2008,0,659344,-659344
5/9/2008,0,1966959,-1966960
5/10/2008,0,653186,-653186
5/11/2008,0,554130,-554130
5/12/2008,0,598265,-598265
5/13/2008,0,443824,-443824
5/14/2008,0,603589,-603589
5/15/2008,0,476683,-476683
5/16/2008,0,3893235,-3893240
5/17/2008,0,1367247,-1367250
5/18/2008,0,1247390,-1247390
5/19/2008,0,1022552,-1022550
5/20/2008,0,1114054,-1114050
5/21/2008,0,1202316,-1202320
5/22/2008,0,1032559,-1032560
5/23/2008,0,747880,-747880
5/24/2008,0,564491,-564491
5/25/2008,0,442200,-442200
5/26/2008,0,357848,-357848
5/27/2008,0,826841,-826841
5/28/2008,0,354415,-354415
5/29/2008,0,304866,-304866
5/30/2008,0,268072,-268072
5/31/2008,0,624090,-624090
6/1/2008,0,268585,-268585
6/2/2008,0,243901,-243901
6/3/2008,0,524856,-524856
6/4/2008,0,691409,-691409
6/5/2008,0,271878,-271878
6/6/2008,0,245523,-245523
6/7/2008,0,274889,-274889
6/8/2008,0,494940,-494940
6/9/2008,0,220493,-220493
6/10/2008,0,751584,-751584
6/11/2008,0,245276,-245276
6/12/2008,0,214552,-214552
6/13/2008,0,193153,-193153
6/14/2008,0,631615,-631615
6/15/2008,0,215352,-215352
6/16/2008,0,871532,-871532
