Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Pepacton Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Pepacton Reservoir","Increase in Storage for Pepacton Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
9/3/2007,2093368, ,585727,-82764.1,-2596330
9/4/2007,2143915, ,577729,-90246.9,-2631400
9/5/2007,2147773, ,571681,-94418.1,-2625040
9/6/2007,2154079, ,566892,-90930.7,-2630040
9/7/2007,2162029, ,562677,-97168.1,-2627540
9/8/2007,1822618, ,900784,-105875,-2617530
9/9/2007,1427060, ,1049879,134842,-2611780
9/10/2007,1601399, ,985800,19053.6,-2606250
9/11/2007, ,-1233280,3941851,-92811.9,-2615760
9/12/2007, ,-3348290,5383576,578034,-2613320
9/13/2007,24033.7, ,2661452,-79399.5,-2606090
9/14/2007, ,-230759,2931575,-76130.2,-2624690
9/15/2007, ,-1460580,3987040,25916,-2552380
9/16/2007, ,-1939300,4417154,76217.3,-2554070
9/17/2007, ,-299530,2916320,-60463.8,-2556330
9/18/2007,323203, ,2292499,-62655.6,-2553050
9/19/2007,899219, ,1715999,-62547.4,-2552670
9/20/2007,1359398, ,1264972,-72744.4,-2551630
9/21/2007,1621732, ,1007575,-79259.4,-2550050
9/22/2007,1783715, ,852672,-88224.5,-2548160
9/23/2007,1876947, ,755327,-86183.4,-2546090
9/24/2007,1933902, ,685660,-79521.6,-2540040
9/25/2007,1965000, ,646102,-73308,-2537790
9/26/2007,1946668, ,672495,-79782.1,-2539380
9/27/2007,669289, ,1928496,-64535.9,-2533250
9/28/2007,252377, ,2088010,195955,-2536340
9/29/2007,1156551, ,1390427,-10928.4,-2536050
9/30/2007,1198410, ,1326008,-68336.5,-2456080
10/1/2007, ,-1098370,1332110,-64392,-169344
10/2/2007, ,-591839,1294365,-67492.6,-635034
10/3/2007,641550, ,1226956,-68665.6,-1799840
10/4/2007,1438891, ,1135190,-75111.4,-2498970
10/5/2007,1152027, ,971886,-83076.5,-2040840
10/6/2007,1099991, ,1022324,-81478.1,-2040840
10/7/2007,607580, ,1227484,41026,-1876090
10/8/2007, ,-309284,1988247,-38502.6,-1640460
10/9/2007, ,-2757430,4807897,-9633.25,-2040840
10/10/2007, ,-3634200,5310832,364209,-2040840
10/11/2007, ,-3511600,5997764,23092.3,-2509260
10/12/2007, ,-4458620,6475803,500022,-2517210
10/13/2007, ,-2367860,4921440,-31195,-2522390
10/14/2007, ,-1169130,3734148,-43743.8,-2521270
10/15/2007, ,-400754,2967138,-43756.5,-2522630
10/16/2007,273447, ,2299860,-50214.2,-2523090
10/17/2007,861008, ,1711691,-49922.8,-2522780
10/18/2007,1268019, ,1310238,-56481.2,-2521780
10/19/2007, ,-254987,2836559,-61269.9,-2520300
10/20/2007, ,-1749210,3791255,478550,-2520600
10/21/2007,380873, ,2203147,-61390.3,-2522630
10/22/2007,724799, ,1849963,-52573.9,-2522190
10/23/2007, ,-200881,2785343,-59245.7,-2525220
10/24/2007, ,-1925870,4052844,229862,-2356830
10/25/2007, ,-1341990,3709814,155990,-2523820
10/26/2007, ,-1989670,4559326,-21785,-2547870
10/27/2007, ,-6725670,9002457,277030,-2553810
10/28/2007, ,-7429090,9514834,477859,-2563600
10/29/2007, ,-2728050,5328538,-44984.5,-2555500
10/30/2007, ,-1351960,3939413,-32658.8,-2554800
10/31/2007, ,-386427,2977706,-34909.4,-2556370
11/1/2007,334447, ,2263855,-41483.2,-2556820
11/2/2007,794224, ,1805920,-43714.8,-2556430
11/3/2007,1122363, ,1489142,-35319.8,-2576190
11/4/2007,1368645, ,1219504,-33945.2,-2554200
11/5/2007,1554840, ,1031315,-33541.8,-2552610
11/6/2007,1657746, ,919098,-26036.4,-2550810
11/7/2007,1728474, ,850586,-30178.1,-2548880
11/8/2007,1771264, ,806581,-30970.8,-2546870
11/9/2007,1690576, ,874798,-24187.4,-2541190
11/10/2007,1598638, ,924530,16055.3,-2539220
11/11/2007,1664358, ,815629,57378.2,-2537370
11/12/2007,1468303, ,930089,-1580.12,-2396810
11/13/2007,547863, ,1339762,20981.6,-1908610
11/14/2007,1106045, ,1329596,89949.9,-2525590
11/15/2007,1050807, ,1507366,-30237.9,-2527930
11/16/2007,1072396, ,1484565,-22747.4,-2534210
11/17/2007,953451, ,1447884,131632,-2532970
11/18/2007,643398, ,1764767,-18554.3,-2389610
11/19/2007, ,-1166750,1730058,99943.4,-663249
11/20/2007, ,-1752960,2318446,87993.9,-653476
11/21/2007, ,-1347780,2213267,59520.4,-925011
11/22/2007,896823, ,1617604,-23353.6,-2491070
11/23/2007,859024, ,1591570,39437.4,-2490030
11/24/2007,1051306, ,1348940,103787,-2504030
11/25/2007,1106197, ,1263838,-16972.6,-2353060
11/26/2007, ,-597657,1266893,-16704.8,-652532
11/27/2007, ,-562689,1226993,-11077.7,-653226
11/28/2007, ,-575746,1255994,-26367.8,-653880
11/29/2007,126416, ,1785768,-22392,-1889790
11/30/2007,374935, ,2097246,46213.4,-2518400
12/1/2007,1043170, ,1362573,127216,-2532960
12/2/2007,1153557, ,1242352,-17538.9,-2378370
12/3/2007,1019961, ,1196888,-12066.8,-2204780
12/4/2007, ,-482700,1149018,-16088.9,-650229
12/5/2007, ,-435050,1102381,-16541.8,-650790
12/6/2007,692971, ,1056208,-12388.6,-1736790
12/7/2007,1546284, ,993746,-10547.1,-2529480
12/8/2007,1615858, ,927926,-12226.9,-2531560
12/9/2007,1516466, ,874039,-14444.2,-2376060
12/10/2007, ,-169338,830548,-16154.3,-645055
12/11/2007, ,-138340,801797,-18205.1,-645252
12/12/2007, ,-124583,786889,-16892.7,-645413
12/13/2007,1447369, ,762431,-14502.5,-2195300
12/14/2007,234810, ,732009,-4817.44,-962001
12/15/2007, ,-50451.6,711210,-17155.2,-643603
12/16/2007, ,-39646.3,697290,-13981.8,-643662
12/17/2007, ,-29178.7,685270,-12383,-643708
12/18/2007, ,-16578.1,674688,-14367.6,-643742
12/19/2007, ,-7278.35,665100,-14060.4,-643761
12/20/2007,3892.31, ,656121,-16244.1,-643770
12/21/2007, ,-13703.6,649361,8107.74,-643765
12/22/2007,19267.9, ,641305,-16791.7,-643781
12/23/2007, ,-68061.6,730023,-18203,-643759
12/24/2007, ,-97120.6,743854,-2895.26,-643838
12/25/2007,30988.7, ,636198,-23236,-643950
12/26/2007,8077.61, ,654913,-19075.7,-643914
12/27/2007, ,-1003760,1664050,-16385.7,-643905
12/28/2007, ,-1236160,1799689,81547.6,-645071
12/29/2007, ,-133117,800856,-21232.4,-646507
12/30/2007, ,-155921,824830,-22246.7,-646662
12/31/2007, ,-173844,841180,-20493.4,-646843
1/1/2008, ,-198763,863785,-17976.8,-647045
1/2/2008, ,-211171,856628,1818.45,-647276
1/3/2008, ,-194091,858030,-16417.8,-647521
1/4/2008, ,-178003,833216,-7466.82,-647747
1/5/2008, ,-139479,795848,-8415.37,-647953
1/6/2008, ,-107407,767496,-11974.4,-648115
1/7/2008, ,-85263.4,751169,-17665.6,-648240
1/8/2008, ,-90223.8,756841,-18277.9,-648339
1/9/2008, ,-314113,990248,-27690.7,-648444
1/10/2008, ,-614469,1242778,20499.7,-648809
1/11/2008, ,-2899200,3562935,-14217.4,-649523
1/12/2008, ,-3808520,4151911,309496,-652891
1/13/2008, ,-2548400,3230552,-24837.1,-657315
1/14/2008, ,-3254970,3928627,-13381.5,-660275
1/15/2008, ,-2646150,3308734,1471.2,-664057
1/16/2008, ,-1718680,2402212,-16401.6,-667131
1/17/2008, ,-1556920,2240961,-14915.3,-669127
1/18/2008, ,-545708,2027608,-13595.6,-1468300
1/19/2008,100202, ,1724213,-14853.3,-1809560
1/20/2008,377636, ,1442799,-14860.6,-1805570
1/21/2008,592689, ,1228660,-12343.1,-1809010
1/22/2008,751002, ,1062986,-9540.36,-1804450
1/23/2008,852195, ,943640,-10888.6,-1784950
1/24/2008,934985, ,862140,-13168.1,-1783960
1/25/2008,990428, ,805792,-13349.5,-1782870
1/26/2008,1029132, ,765885,-13296.7,-1781720
1/27/2008,1061239, ,736206,-13291.4,-1784150
1/28/2008,1085507, ,712941,-15528,-1782920
1/29/2008,1017493, ,796269,-17103.9,-1796660
1/30/2008,1014138, ,782892,-16552.3,-1780480
1/31/2008,1080703, ,691811,10656.2,-1783170
2/1/2008,878158, ,942126,-15870.1,-1804410
2/2/2008,777180, ,1056341,-15370.6,-1818150
2/3/2008,984014, ,792622,18355.4,-1794990
2/4/2008,621260, ,1061485,92233.4,-1774980
2/5/2008, ,-1028170,2624855,173938,-1770630
2/6/2008, ,-8837190,10330532,289609,-1782950
2/7/2008, ,-12404500,12391652,690585,-677723
2/8/2008, ,-6640220,7080338,240885,-681005
2/9/2008, ,-4670480,5230744,128458,-688719
2/10/2008, ,-4445270,5025046,114365,-694144
2/11/2008, ,-3185090,3701472,182927,-699308
2/12/2008, ,-2352890,3070780,-14881.4,-703008
2/13/2008, ,-2889510,3604808,-9560.45,-705742
2/14/2008, ,-2621470,3344357,-13785.3,-709098
2/15/2008, ,-1184190,1915198,-18863,-712144
2/16/2008, ,-757355,1490138,-19263.9,-713519
2/17/2008, ,-979291,1708910,-15219.9,-714399
2/18/2008, ,-1787260,2517533,-14737.8,-715537
2/19/2008, ,-2298010,2866129,149496,-717613
2/20/2008, ,-1019730,1556567,183444,-720282
2/21/2008, ,-621890,1363368,-20010.6,-721467
2/22/2008, ,-538157,1274822,-14475.2,-722190
2/23/2008, ,-466560,1205285,-15909.5,-722815
2/24/2008, ,-404871,1146361,-18133.4,-723357
2/25/2008, ,-343486,1083842,-16528.8,-723827
2/26/2008, ,-808071,1550626,-18329.4,-724226
2/27/2008, ,-378368,1125189,-21655.7,-725165
2/28/2008, ,-222669,970294,-22021.2,-725604
3/1/2008, ,-176009,915837,-13965.4,-725863
3/2/2008, ,-130349,870820,-14403.2,-726067
3/3/2008, ,-1189610,1937040,-21207.9,-726219
3/4/2008, ,-10655100,11204977,177678,-727601
3/5/2008, ,-24018300,23800980,957326,-739979
3/6/2008, ,-24767000,25212478,966977,-1412410
3/7/2008, ,0,28404510,528859,-28933400
3/8/2008, ,0,39327724,755834,-40083600
3/9/2008, ,0,27999356,1012520,-29011900
3/10/2008, ,0,9310593,123560,-9434150
3/11/2008, ,0,7128082,-30984.6,-7097100
3/12/2008, ,0,4724373,104913,-4829290
3/13/2008, ,0,5177865,12594.3,-5190460
3/14/2008, ,0,11168297,321423,-11489700
3/15/2008, ,0,16166731,676377,-16843100
3/16/2008, ,0,13757061,637679,-14394700
3/17/2008, ,0,8157554,302955,-8460510
3/18/2008, ,0,7805270,-28317.4,-7776950
3/19/2008, ,0,21385840,-10336.9,-21375500
3/20/2008, ,0,21356144,623075,-21979200
3/21/2008, ,0,11853857,195690,-12049500
3/22/2008, ,0,5661810,-33961.6,-5627850
3/23/2008, ,0,3816830,-30259.8,-3786570
3/24/2008, ,0,2750530,-33538.8,-2716990
3/25/2008, ,0,2168580,-30062.3,-2138520
3/26/2008, ,0,2141465,-28732.4,-2112730
3/27/2008, ,0,3204475,14483.1,-3218960
3/28/2008, ,0,2789308,77273.4,-2866580
3/29/2008, ,0,2180106,156486,-2336590
3/30/2008,211325, ,1526316,-16372.1,-1721270
3/31/2008, ,-211325,4196440,-34880.1,-3950240
4/1/2008, ,0,7197584,66252.9,-7263840
4/2/2008, ,0,5052946,440496,-5493440
4/3/2008, ,0,3183771,-66662.1,-3117110
4/4/2008, ,0,5262202,-26220,-5235980
4/5/2008, ,0,5749218,177611,-5926830
4/6/2008, ,0,4081024,150254,-4231280
4/7/2008, ,0,2806478,-63289.4,-2743190
4/8/2008, ,0,2261272,-67398.6,-2193870
4/9/2008, ,0,1803499,-71579.4,-1731920
4/10/2008, ,0,1495906,-79396.5,-1416510
4/11/2008, ,0,2390746,-72433.3,-2318310
4/12/2008, ,0,2302364,135043,-2437410
4/13/2008, ,0,1428319,-87759.6,-1340560
4/14/2008,526629, ,1238831,-70558.8,-1694900
4/15/2008,1074235, ,1136930,-60130.7,-2151030
4/16/2008,1284659, ,1068854,-61478.9,-2292030
4/17/2008,1350085, ,1012557,-72100,-2290540
4/18/2008,1410570, ,963965,-85560.9,-2288970
4/19/2008,1474770, ,911002,-98437,-2287340
4/20/2008,1528533, ,865381,-108292,-2285620
4/21/2008,1723711, ,830994,-113611,-2441090
4/22/2008,1929659, ,804139,-100202,-2633600
4/23/2008,1959136, ,782273,-98684.7,-2642720
4/24/2008,1442099, ,764301,-101321,-2105080
4/25/2008,1989230, ,749700,-104027,-2634900
4/26/2008,1597757, ,795517,-97435.2,-2295840
4/27/2008,1509576, ,756718,12689.7,-2278980
4/28/2008,249880, ,1514709,-101352,-1663240
4/29/2008,293545, ,1627524,352000,-2273070
4/30/2008,1201639, ,1142254,-74793.5,-2269100
5/1/2008,1216702, ,1188566,-64987.5,-2340280
5/2/2008,679408, ,1389216,11871.4,-2080500
5/3/2008, ,-152700,2115063,-17405.9,-1944960
5/4/2008, ,-528073,2374285,106422,-1952630
5/5/2008, ,-88874.4,2125758,-61137.8,-1975750
5/6/2008,12353.2, ,1707782,-88538.6,-1631600
5/7/2008,223446, ,1496324,-95687.7,-1624080
5/8/2008, ,-44013.1,1367615,-77899.5,-1245700
5/9/2008, ,-508247,1496718,-68341.6,-920129
5/10/2008, ,-640283,1377506,104873,-842096
5/11/2008,586453, ,1111745,-84359.5,-1613840
5/12/2008,695020, ,982422,-90412.1,-1587030
5/13/2008,795452, ,893502,-99102.7,-1589850
5/14/2008,244023, ,861722,-89442.3,-1016300
5/15/2008,517609, ,804022,-69740.6,-1251890
5/16/2008,457061, ,1596584,-106109,-1947540
5/17/2008, ,-227857,1836795,353066,-1962000
5/18/2008,224461, ,1751355,-13548,-1962270
5/19/2008,204196, ,1608770,-38204.2,-1774760
5/20/2008,602610, ,1412891,-65100.7,-1950400
5/21/2008,337920, ,1582798,-68269.4,-1852450
5/22/2008,159167, ,1778279,23231.4,-1960680
5/23/2008,352317, ,1623272,-15095.9,-1960490
5/24/2008,715948, ,1336168,-92032.4,-1960080
5/25/2008,927673, ,1128340,-96761.3,-1959250
5/26/2008,1059351, ,1000785,-101962,-1958170
5/27/2008,1157355, ,907258,-107669,-1956940
5/28/2008,597519, ,812526,-117065,-1292980
5/29/2008,180334, ,756266,-104687,-831912
5/30/2008,754286, ,712504,-96089.3,-1370700
5/31/2008,602618, ,1086871,-110161,-1579330
6/1/2008,492786, ,1066954,67271.5,-1627010
6/2/2008,949203, ,810989,-133753,-1626440
6/3/2008,1138682, ,903178,-117027,-1924830
6/4/2008,1099227, ,909261,-21353.3,-1987140
6/5/2008,1567773, ,813374,-84663.1,-2296480
6/6/2008,1218603, ,1100339,-125161,-2193780
6/7/2008,1104167, ,1341042,-80837.3,-2364370
6/8/2008,839675, ,1613477,-90063.5,-2363090
6/9/2008,976026, ,1279577,46756.1,-2302360
6/10/2008,1132298, ,1397004,-164452,-2364850
6/11/2008,1082700, ,1308114,-27279.8,-2363530
6/12/2008,1373433, ,1016408,-158685,-2231160
6/13/2008,1563386, ,922049,-135882,-2349550
6/14/2008,916513, ,1516684,-130458,-2302740
6/15/2008,604223, ,1617952,124497,-2346670
6/16/2008, ,-748153,2186772,-140888,-1297730
6/17/2008, ,-1777300,2502530,135499,-860725
6/18/2008, ,-730207,1703135,-110139,-862789
6/19/2008, ,-39935.5,1542312,-47244.4,-1455130
6/20/2008,223133, ,1482726,-104802,-1601060
6/21/2008,225853, ,1426414,-43970.4,-1608300
6/22/2008,176119, ,1552283,-120368,-1608030
6/23/2008, ,-697750,2335925,-19217.6,-1618960
6/24/2008, ,-72482.5,2066016,-3143.79,-1990390
6/25/2008,1344420, ,1494440,-107143,-2731720
6/26/2008,1583810, ,1273232,-123259,-2733780
6/27/2008,1710314, ,1093051,-90049,-2713320
6/28/2008,1845501, ,1025925,-141469,-2729960
6/29/2008,1609133, ,1233170,-114490,-2727810
6/30/2008,1143734, ,1128232,64728.9,-2336690
7/1/2008,75720.1, ,1345274,-122497,-1298500
7/2/2008,1277499, ,1209039,50985.3,-2537520
7/3/2008,1591640, ,1242299,-114524,-2719410
7/4/2008,1515472, ,1141258,60835.8,-2717570
7/5/2008,1566666, ,1269889,-120750,-2715810
7/6/2008,1490674, ,1334820,-111509,-2713990
7/7/2008,1865559, ,968923,-122228,-2712250
7/8/2008,1975306, ,862614,-127833,-2710090
7/9/2008,1936375, ,902892,-131475,-2707790
7/10/2008,1931793, ,817657,-40279.1,-2709170
7/11/2008,2114830, ,712648,-120551,-2706930
7/12/2008,2150528, ,665827,-111885,-2704470
7/13/2008, ,-876799,3702692,-123921,-2701970
7/14/2008, ,-1449020,3458330,693678,-2702990
7/15/2008,916282, ,1910071,-125308,-2701040
7/16/2008,723753, ,2093751,-117524,-2699980
7/17/2008,306712, ,2372620,19806.8,-2699140
7/18/2008,240076, ,2502286,-43578.7,-2698780
7/19/2008,490250, ,2286386,-78131.7,-2698500
7/20/2008, ,-1188930,3973885,-87018.5,-2697940
7/21/2008, ,-2104640,4549010,258576,-2702940
7/22/2008, ,-14365.6,2804552,-88424.9,-2701760
7/23/2008, ,-10462600,11807594,-88245,-1256790
7/24/2008, ,-19274000,19362076,757981,-846068
7/25/2008, ,-9739540,11345724,-18979.5,-1587200
7/26/2008, ,-5845300,6856077,-131010,-879772
7/27/2008, ,-7070090,8012904,-56252.9,-886562
7/28/2008, ,-5243510,6222646,-84356.6,-894776
7/29/2008, ,-858934,3367089,-132544,-2375610
7/30/2008,348047, ,2237300,-137613,-2447730
7/31/2008,673916, ,1535264,-136102,-2073080
8/1/2008,1055768, ,1109185,-141283,-2023670
8/2/2008,924315, ,1239118,-140989,-2022440
8/3/2008,747248, ,1291374,-21123.5,-2017500
8/4/2008,1033405, ,968538,-108692,-1893250
8/5/2008,1110234, ,840860,-126538,-1824560
8/6/2008,916610, ,1006980,-126451,-1797140
8/7/2008,737974, ,984455,111143,-1833570
8/8/2008,949536, ,973582,-112903,-1810220
8/9/2008,903950, ,922769,-32605.7,-1794110
8/10/2008,801256, ,1113240,-121432,-1793060
8/11/2008, ,-181765,1915834,91690.4,-1825760
8/12/2008,261984, ,2049155,233576,-2544710
8/13/2008,1262842, ,1435366,-75172.9,-2623030
8/14/2008,1407495, ,1273081,-115134,-2565440
8/15/2008,1063109, ,1618548,-117850,-2563810
8/16/2008,296821, ,2248026,17724.6,-2562570
8/17/2008,1059779, ,1599343,-93266.1,-2565860
8/18/2008,1102911, ,1568218,-117632,-2553500
8/19/2008,1124597, ,1504942,-81194.2,-2548340
8/20/2008,1467031, ,1199620,-108243,-2558410
8/21/2008,1645350, ,1017970,-99115.6,-2564200
8/22/2008,1760341, ,911392,-109441,-2562290
8/23/2008,1857532, ,823086,-120371,-2560250
8/24/2008,1927256, ,751298,-120464,-2558090
8/25/2008,1836777, ,772963,-125014,-2484730
8/26/2008,1380361, ,1098256,67600.5,-2546220
8/27/2008,1726392, ,856798,-38575.6,-2544610
8/28/2008,1888069, ,761400,-103232,-2546240
8/29/2008,1782291, ,861603,-103479,-2540420
8/30/2008,1720418, ,804566,13360.6,-2538340
8/31/2008,1912418, ,737450,-113522,-2536350
9/1/2008,1895883, ,716770,-102721,-2509930
9/2/2008,1923292, ,694451,-98885.2,-2518860
9/3/2008,1945106, ,664853,-96963.7,-2513000
9/4/2008,1877595, ,642736,-103218,-2417110
9/5/2008,726204, ,626659,-105921,-1246940
9/6/2008, ,-1389190,2319194,-106782,-823222
9/7/2008, ,-1335730,3182184,337002,-2183460
9/8/2008,1241190, ,1361168,-91480.9,-2510880
9/9/2008, ,-1220040,3816130,-86655,-2509430
9/10/2008, ,-2992000,5064788,434193,-2506980
9/11/2008, ,-466988,3053238,-75793.2,-2510460
9/12/2008, ,-1059960,3646298,-75342.6,-2511000
9/13/2008, ,-1677950,4058846,135207,-2516100
9/14/2008, ,-665526,3200456,-16879.4,-2518050
9/15/2008,44232.9, ,2461334,-63189.8,-2442380
9/16/2008,824490, ,1744056,-126221,-2442330
9/17/2008,1194910, ,1334464,-88006.1,-2441370
9/18/2008,1451625, ,1067420,-82694,-2436350
9/19/2008,1604654, ,916742,-75603.5,-2445790
9/20/2008,1693868, ,817191,-63500.8,-2447560
9/21/2008,1761637, ,749507,-65554.7,-2445590
9/22/2008,1782074, ,717884,-71171.8,-2428790
9/23/2008,1834601, ,675493,-75878.5,-2434220
9/24/2008,1845175, ,654102,-67192.1,-2432080
9/25/2008,1840752, ,658624,-69435,-2429940
9/26/2008,1358325, ,1128663,-59186.1,-2427800
9/27/2008,751708, ,1581354,93162,-2426220
9/28/2008,149599, ,2012468,263285,-2425350
9/29/2008, ,-32838.8,2258234,199782,-2425180
9/30/2008,284788, ,2215155,-74726.8,-2425220
10/1/2008, ,-552790,2954186,-703.065,-2400690
10/2/2008, ,-280816,2713792,-31640.9,-2401340
10/3/2008, ,-450948,2729072,-22582.6,-2255540
10/4/2008,83986.5, ,2348292,-33963.6,-2398310
10/5/2008,573533, ,1873253,-48568.7,-2398220
10/6/2008,917594, ,1524231,-47903.4,-2393920
10/7/2008,1176301, ,1263920,-51235.6,-2388990
10/8/2008,1194762, ,1238825,-45968,-2387620
10/9/2008,1222484, ,1167724,-3977.75,-2386230
10/10/2008,1495633, ,949622,-60444.9,-2384810
10/11/2008,1587831, ,853737,-58495.3,-2383070
10/12/2008,1644224, ,788661,-55284.5,-2377600
10/13/2008,1706817, ,742711,-58839.4,-2390690
10/14/2008,1738344, ,708466,-61975,-2384840
10/15/2008,1402980, ,682697,-62112.5,-2023560
10/16/2008,1548392, ,897711,-57417.3,-2388690
10/17/2008,1217955, ,908643,73042.5,-2199640
10/18/2008,1677478, ,742008,-49013.4,-2370470
10/19/2008,1684284, ,730578,-38838.1,-2376020
10/20/2008,1685538, ,720653,-35752.3,-2370440
10/21/2008,1592725, ,801954,-37568.6,-2357110
10/22/2008,375190, ,818665,1156.7,-1195010
10/23/2008, ,-28517.9,754182,-36459.7,-689205
10/24/2008,339179, ,736795,-34984.2,-1040990
10/25/2008, ,-5985400,6713044,-35168.6,-692473
10/26/2008, ,-10574700,10328400,942129,-695797
10/27/2008, ,-5792030,6542779,-42664.9,-708081
10/28/2008, ,-11380300,11930770,164296,-714810
10/29/2008, ,-11674500,11911235,491292,-728030
10/30/2008, ,-6450580,7204904,-12733.2,-741592
10/31/2008, ,-5794780,6558758,-14891.7,-749086
11/1/2008, ,-5357510,6128878,-15545.7,-755817
11/2/2008, ,-3704180,4506258,-40038.8,-762041
11/3/2008, ,-1971830,2776126,-37951.5,-766344
11/4/2008, ,-1146150,1949501,-34715.6,-768635
11/5/2008, ,-654742,1459085,-34376.7,-769966
11/6/2008, ,-405261,1218278,-42290.6,-770727
11/7/2008, ,-322904,1136161,-42058.9,-771198
11/8/2008, ,-259245,1085067,-54249.3,-771573
11/9/2008, ,-214982,1011806,-24950.4,-771874
11/10/2008, ,-106004,921180,-43052.8,-772124
11/11/2008, ,-393468,1188060,-22345,-772247
11/12/2008, ,-489613,1139265,123052,-772704
11/13/2008, ,-717006,1496973,-6694.5,-773273
11/14/2008, ,-902969,1571624,105450,-774106
11/15/2008, ,-1773270,2577320,-28895.7,-775155
11/16/2008, ,-2684890,3122610,339495,-777215
11/17/2008, ,-1608440,2418316,-29538.8,-780334
11/18/2008, ,-1461100,2263014,-19710.4,-782202
11/19/2008, ,-1316790,2122151,-21459.1,-783899
11/20/2008, ,-1157330,1960325,-17570,-785429
11/21/2008, ,-944837,1748676,-17066.2,-786774
11/22/2008, ,-749470,1554274,-16933.3,-787871
11/23/2008, ,-552723,1356387,-14922.3,-788742
11/24/2008, ,-380553,1183592,-13654.8,-789384
11/25/2008, ,-424426,1230909,-16657.1,-789826
11/26/2008, ,-436544,1228216,-1353.16,-790319
11/27/2008, ,-236706,1045941,-18409.3,-790826
11/28/2008, ,-171634,984196,-21461.5,-791101
11/29/2008, ,-125660,938472,-21511.7,-791300
11/30/2008, ,-273932,1089772,-24393.9,-791446
12/1/2008,1080826, ,1278735,-14428.3,-2345130
12/2/2008,825019, ,1497416,40070.2,-2362510
12/3/2008,1265019, ,1108128,89522.3,-2462670
12/4/2008,1310508, ,1186878,-21187.4,-2476200
12/5/2008,1329604, ,1139941,8759.36,-2478310
12/6/2008,1534188, ,963564,-20991.5,-2476760
12/7/2008,1550725, ,943039,-14914.6,-2478850
12/8/2008,1568555, ,920263,-15641.1,-2473180
12/9/2008,1559253, ,919322,-14478.2,-2464100
12/10/2008, ,-845514,3328334,-16905.1,-2465910
12/11/2008, ,-5381280,6798378,331056,-1748150
12/12/2008, ,-4071180,4092189,767650,-788659
12/13/2008, ,-1699110,2438714,50152,-789760
12/14/2008, ,-1511630,2320069,-16706.7,-791734
12/15/2008, ,-1998110,2807895,-16297.5,-793490
12/16/2008, ,-723635,2932483,67232.4,-2276080
12/17/2008, ,0,2383342,49846.2,-2433190
12/18/2008, ,0,1924901,-21095.3,-1903810
12/19/2008, ,0,1584746,-22326.2,-1562420
12/20/2008,231252, ,1336741,-18969.9,-1549020
12/21/2008,395374, ,1170478,-17098.8,-1548750
12/22/2008,516663, ,1055434,-16302.6,-1555790
12/23/2008,962779, ,968655,-13118.2,-1918320
12/24/2008,652642, ,1298825,-11771.3,-1939700
12/25/2008,618259, ,1327179,-17870.6,-1927570
12/26/2008,1034829, ,917529,-25508.8,-1926850
12/27/2008,606766, ,1338843,-19961.6,-1925650
12/28/2008,473241, ,1451917,-215.792,-1924940
12/29/2008,906783, ,1038133,-31651.8,-1913260
12/30/2008,976359, ,957408,-29056.3,-1904710
12/31/2008,1399837, ,948208,-21591.5,-2326450
1/1/2009,1585364, ,913432,-16721.2,-2482080
1/2/2009,1601839, ,886432,-11908.2,-2476360
1/3/2009,1628801, ,862014,-12442.8,-2478370
1/4/2009,1657534, ,831799,-16723.2,-2472610
1/5/2009,1688524, ,800615,-14583.2,-2474560
1/6/2009,1713927, ,773926,-19130.6,-2468720
1/7/2009,1724156, ,751452,-16133.4,-2459470
1/8/2009,1745710, ,733371,-17980.3,-2461100
1/9/2009,1759501, ,716363,-20421.3,-2455440
1/10/2009,1775437, ,701542,-16321.9,-2460660
1/11/2009,1780695, ,689456,-11556.3,-2458590
1/12/2009,1686453, ,678812,-13489.8,-2351770
1/13/2009,1802196, ,669254,-13012.4,-2458440
1/14/2009,1803715, ,660588,-15458.1,-2448840
1/15/2009,1807436, ,652936,-13622.5,-2446750
1/16/2009,1812034, ,646257,-10012.6,-2448280
1/17/2009,1812967, ,640233,-7027.19,-2446170
1/18/2009,1808712, ,634584,-6485.49,-2436810
1/19/2009,1815071, ,629103,-9465.15,-2434710
1/20/2009,1822837, ,623822,-14059.4,-2432600
1/21/2009,1826532, ,618931,-11351.9,-2434110
1/22/2009,1818999, ,614371,-12509.1,-2420860
1/23/2009,1818160, ,609913,-13196,-2414880
1/24/2009,1831778, ,605546,-17058.9,-2420260
1/25/2009,1846829, ,601529,-19093.5,-2429260
1/26/2009,1838511, ,597746,-9138.17,-2427120
1/27/2009,1835341, ,594211,-8196.71,-2421350
1/28/2009,1835204, ,590745,-10354.9,-2415590
1/29/2009,1847284, ,587325,-13889.7,-2420720
1/30/2009,1846298, ,584034,-15387.8,-2414940
1/31/2009,1846225, ,580927,-14352.1,-2412800
2/1/2009,1852994, ,577953,-12791.8,-2418150
2/2/2009,1726053, ,704632,-14682.2,-2416000
2/3/2009,1643477, ,742156,20864.6,-2406500
2/4/2009,1817154, ,607495,-20059.7,-2404590
2/5/2009,1831811, ,583290,-12623.4,-2402480
2/6/2009,1823565, ,582473,-9317.54,-2396720
2/7/2009,1823797, ,581527,-10721.7,-2394600
