Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
9/1/2007,1940033, ,539651,-87648.3,-2392040
9/2/2007,3823933, ,527898,-71747.6,-4280080
9/3/2007,4000485, ,519083,-70555.2,-4449010
9/4/2007,2558263, ,512657,-78058.7,-2992860
9/5/2007,1522185, ,507798,-77343.2,-1952640
9/6/2007,2107685, ,503892,-75736.8,-2535840
9/7/2007,2701470, ,500577,-83006.5,-3119040
9/8/2007,1869575, ,843208,-90542.4,-2622240
9/9/2007,662078, ,1797200,76561.7,-2535840
9/10/2007,924397, ,1208565,78877.4,-2211840
9/11/2007, ,-4727090,8145961,-71289.4,-3347590
9/12/2007, ,-1589010,4534604,560519,-3506110
9/13/2007,2173700, ,2350490,-57206,-4466980
9/14/2007, ,-202790,3163995,-65664.5,-2895540
9/15/2007, ,-2328820,5532707,15654.1,-3219540
9/16/2007, ,-1854940,4578122,72135.6,-2795320
9/17/2007,937776, ,3052722,-50381.5,-3940120
9/18/2007,708311, ,2311238,-55060.7,-2964490
9/19/2007,1838721, ,1659262,-58295.7,-3439690
9/20/2007,2020296, ,1201660,-63068.8,-3158890
9/21/2007,3102742, ,946118,-69172.9,-3979690
9/22/2007,1769194, ,798369,-74646,-2492920
9/23/2007,2872352, ,704144,-72007.5,-3504490
9/24/2007,2872291, ,634622,-67225.1,-3439690
9/25/2007,1816930, ,597060,-61802.1,-2352190
9/26/2007,2744816, ,726189,-67916.6,-3403090
9/27/2007,958125, ,2769345,-21981.4,-3705490
9/28/2007,1050492, ,2722556,148440,-3921490
9/29/2007,1255466, ,1376057,15565,-2647090
9/30/2007,1955429, ,1221136,-54276.9,-3122290
10/1/2007,1426964, ,1232708,-54815.9,-2604860
10/2/2007,2326420, ,1206278,-58515.2,-3474180
10/3/2007,1926058, ,1148541,-58336.5,-3016260
10/4/2007,1651863, ,1059341,-66125,-2645080
10/5/2007,2224479, ,914957,-71662.6,-3067770
10/6/2007,2530813, ,1129031,-55142.2,-3604700
10/7/2007,1023744, ,1447294,23628.5,-2494670
10/8/2007,81001.9, ,1866462,-14925.6,-1932540
10/9/2007, ,-3146850,5569108,-21623.7,-2400630
10/10/2007, ,-2416320,5239258,274770,-3097700
10/11/2007, ,-6128660,8716738,-11964.8,-2576110
10/12/2007, ,-4711840,5898660,480918,-1667740
10/13/2007, ,-3049320,4499227,-530.786,-1449370
10/14/2007, ,-2158280,3644826,-36195.3,-1450350
10/15/2007, ,-928116,2933010,-35586.6,-1969310
10/16/2007, ,-633768,2308376,-43375.2,-1631230
10/17/2007,262397, ,1731534,-43715.3,-1950220
10/18/2007,548012, ,1328797,-47972.1,-1828840
10/19/2007, ,-2843420,4974563,-53554.3,-2077590
10/20/2007, ,-1704990,3138574,397203,-1830790
10/21/2007, ,-941020,2032138,-38208.5,-1052910
10/22/2007,9929.4, ,1677440,-45825.5,-1641540
10/23/2007, ,-2314800,4891316,-50187.9,-2526330
10/24/2007, ,-3425510,5274900,224642,-2074030
10/25/2007, ,-1881380,3558123,74205.6,-1750950
10/26/2007, ,-4287420,6557360,-33336.9,-2236600
10/27/2007, ,-10726800,12246092,207460,-1726720
10/28/2007, ,-7124910,8140688,239711,-1255490
10/29/2007, ,-3735230,4964837,-34557.5,-1195050
10/30/2007, ,-2291910,3804548,-27728.5,-1484910
10/31/2007, ,-1771900,2860153,-31162.3,-1057090
11/1/2007, ,-1105990,2168388,-35968.1,-1026430
11/2/2007, ,-409964,1745148,-35440.8,-1299740
11/3/2007, ,-627577,1435352,-29599.4,-778176
11/4/2007, ,-236774,1177209,-27186.7,-913248
11/5/2007, ,-90982.5,1043892,-28429.9,-924480
11/6/2007, ,-2237.15,940870,-20201.1,-918432
11/7/2007,135229, ,860725,-23089.6,-972864
11/8/2007,952284, ,811211,-24747,-1738750
11/9/2007,569917, ,981424,-19872.2,-1531470
11/10/2007, ,-46397.3,987542,14439.3,-955584
11/11/2007, ,-98868,899165,38002.1,-838299
11/12/2007,272859, ,1136894,445.018,-1410200
11/13/2007, ,-1022110,1887811,13854.5,-879552
11/14/2007, ,-815543,1607924,20354.1,-812736
11/15/2007, ,-512905,1326794,-9216.27,-804672
11/16/2007, ,-1185990,1685650,-17544.8,-482112
11/17/2007, ,-793916,1408438,95110.2,-709632
11/18/2007, ,-1436860,2028388,-15241.6,-576288
11/19/2007, ,-1518770,2029300,64892.1,-575424
11/20/2007, ,-2760450,3297933,79993.7,-617472
11/21/2007, ,-1501320,1881646,75866.3,-456192
11/22/2007, ,-1380390,1909250,-22561,-506304
11/23/2007, ,-1297500,1774706,34859.4,-512064
11/24/2007, ,-1133060,1386225,75444,-328608
11/25/2007, ,-937720,1326461,-13764.5,-374976
11/26/2007, ,-1043290,1423536,-13338.3,-366912
11/27/2007, ,-225592,1290955,-10683.3,-1054680
11/28/2007, ,-268478,1427400,-22623.1,-1136300
11/29/2007, ,-1891270,2376461,-17850,-467343
11/30/2007, ,-3160350,3324971,63479.8,-228096
12/1/2007, ,-1413990,1570594,49025.7,-205632
12/2/2007, ,-1216700,1435312,-12980.5,-205632
12/3/2007, ,-1162210,1377925,-10087.4,-205632
12/4/2007, ,-1092880,1312283,-13769,-205632
12/5/2007, ,-1028950,1247621,-13036.8,-205632
12/6/2007, ,-963442,1179391,-10316.9,-205632
12/7/2007, ,-875732,1090144,-8780,-205632
12/8/2007, ,-771915,988149,-10601.5,-205632
12/9/2007, ,-688570,907088,-12885.5,-205632
12/10/2007, ,-622815,843952,-15504.6,-205632
12/11/2007, ,-587852,811987,-18503.3,-205632
12/12/2007, ,-578448,800107,-16027.1,-205632
12/13/2007, ,-513224,731135,-12278.3,-205632
12/14/2007, ,-487938,703464,-9893.48,-205632
12/15/2007, ,-463314,681356,-12409.9,-205632
12/16/2007, ,-445391,663656,-12633.2,-205632
12/17/2007, ,-429867,648365,-12865.6,-205632
12/18/2007,463836, ,635066,-13649,-1085250
12/19/2007,361373, ,622949,-15190.4,-969132
12/20/2007,332813, ,640477,-15286.2,-958003
12/21/2007,311881, ,603115,43006.4,-958003
12/22/2007,379737, ,594217,-15950.4,-958003
12/23/2007, ,-567687,791834,-18514.7,-205632
12/24/2007, ,-421000,611602,15030.2,-205632
12/25/2007, ,-355781,583347,-21934.1,-205632
12/26/2007, ,-389635,613873,-18605.5,-205632
12/27/2007, ,-2551980,2774040,-16427.7,-205632
12/28/2007, ,-1094160,1138481,161307,-205632
12/29/2007, ,-533558,751330,-12140.2,-205632
12/30/2007, ,-547165,774846,-22048.4,-205632
12/31/2007, ,-566935,791414,-18847,-205632
1/1/2008, ,-677170,899932,-17130.6,-205632
1/2/2008,72528.4, ,815846,32130.8,-920506
1/3/2008,174415, ,821288,-15201.4,-980502
1/4/2008,161085, ,796345,-6925.61,-950504
1/5/2008,202879, ,757406,-9781.97,-950504
1/6/2008,207099, ,756457,-13052.4,-950504
1/7/2008,234528, ,732108,-16132.4,-950504
1/8/2008,287185, ,680271,-16952.3,-950504
1/9/2008, ,-170026,1146078,-25547.5,-950504
1/10/2008, ,-653628,890996,24389.2,-261757
1/11/2008, ,-4765770,4976601,-5198.32,-205632
1/12/2008, ,-3034540,2877142,363032,-205632
1/13/2008, ,-1807700,1947854,65480.6,-205632
1/14/2008, ,-2258800,2379910,84526.4,-205632
1/15/2008, ,-2094780,2195562,104854,-205632
1/16/2008, ,-1461450,1686754,-19674.1,-205632
1/17/2008, ,-1397880,1618024,-14516.5,-205632
1/18/2008, ,-1288050,1507332,-13654.9,-205632
1/19/2008, ,-1107880,1329163,-15649.7,-205632
1/20/2008, ,-932696,1151393,-13064.8,-205632
1/21/2008, ,-803928,1021055,-11495,-205632
1/22/2008, ,-705478,920697,-9586.78,-205632
1/23/2008, ,-625297,842466,-11537.8,-205632
1/24/2008, ,-567212,785528,-12684.1,-205632
1/25/2008, ,-524787,743458,-13038.9,-205632
1/26/2008, ,-492248,711408,-13527.1,-205632
1/27/2008, ,-467384,685721,-12705.1,-205632
1/28/2008, ,-442472,664227,-16122.8,-205632
1/29/2008, ,-565000,787193,-16561.2,-205632
1/30/2008, ,-478244,700465,-16589.4,-205632
1/31/2008, ,-436550,629441,12741.6,-205632
2/1/2008, ,-741096,961188,-14460.4,-205632
2/2/2008, ,-756274,977594,-15688.3,-205632
2/3/2008, ,-688511,877704,16439.1,-205632
2/4/2008, ,-1248650,1369285,85001.5,-205632
2/5/2008, ,-4410090,4637312,-21589.4,-205632
2/6/2008, ,-18119600,18158112,167159,-205632
2/7/2008, ,-12276000,14511866,467801,-2703660
2/8/2008, ,-131579,7960432,131383,-7960240
2/9/2008, ,-131579,7704824,191023,-7764270
2/10/2008, ,-131579,5817052,238774,-5924250
2/11/2008, ,-131579,4182406,-22869.8,-4027960
2/12/2008, ,-131579,3455393,-10009.5,-3313800
2/13/2008, ,-131579,3670050,-9440.64,-3529030
2/14/2008, ,-131579,2630338,-14545,-2484210
2/15/2008, ,-131579,1836463,-17471.3,-1687410
2/16/2008, ,-131579,1429668,-18724.2,-1279360
2/17/2008, ,-131579,1200450,-13286.6,-1055580
2/18/2008, ,-131579,3277420,-14413.7,-3131430
2/19/2008, ,-131579,2185864,158108,-2212390
2/20/2008, ,-131579,1314640,188442,-1371500
2/21/2008, ,-131579,1236525,-18920.4,-1086030
2/22/2008, ,-131579,1166130,-14241,-1020310
2/23/2008, ,-131579,1110418,-16678.2,-962161
2/24/2008, ,-131579,1062564,-18319.3,-912666
2/25/2008, ,-131579,1019564,-17020.2,-870964
2/26/2008, ,-131579,2751391,-18252.6,-2601560
2/27/2008, ,-131579,1457182,162654,-1488260
2/28/2008, ,-131579,1124112,-20196.6,-972337
3/1/2008, ,-131579,1070982,-13016.5,-926387
3/2/2008, ,-131579,1021912,-15549.6,-874783
3/3/2008, ,-131579,3496374,-20541.3,-3344250
3/4/2008, ,-131579,20957184,169302,-20994900
3/5/2008, ,-131579,31059434,826798,-31754700
3/6/2008, ,-131579,27841064,765689,-28475200
3/7/2008, ,-131579,38030176,437336,-38335900
3/8/2008, ,-131579,45209308,639239,-45717000
3/9/2008, ,-131579,21103314,835863,-21807600
3/10/2008, ,-131579,8447792,103330,-8419540
3/11/2008, ,-131579,8943269,-25720.5,-8785970
3/12/2008, ,-131579,6990384,230767,-7089570
3/13/2008, ,-131579,12535675,-26024.2,-12378100
3/14/2008, ,-131579,21065478,241960,-21175900
3/15/2008, ,-131579,24845106,427819,-25141300
3/16/2008, ,-131579,17392226,467356,-17728000
3/17/2008, ,-131579,8233637,196508,-8298570
3/18/2008, ,-131579,10540388,-9903.4,-10398900
3/19/2008, ,-131579,24852374,9962.33,-24730800
3/20/2008, ,-131579,14191328,539868,-14599600
3/21/2008, ,-131579,7400616,141417,-7410450
3/22/2008, ,-131579,4789648,-27747.5,-4630320
3/23/2008, ,-131579,3402206,-24245.1,-3246380
3/24/2008, ,-131579,2620229,-27854.9,-2460800
3/25/2008, ,-131579,2316295,-25250.9,-2159470
3/26/2008, ,-131579,2922323,-22567.2,-2768180
3/27/2008, ,-131579,3116418,27557.8,-3012400
3/28/2008, ,-131579,3314768,89035.1,-3272220
3/29/2008, ,-131579,1952307,137610,-1958340
3/30/2008, ,-131579,1945220,-16978.7,-1796660
3/31/2008, ,-131579,6932191,-19357.7,-6781250
4/1/2008, ,-131579,8758550,159199,-8786170
4/2/2008, ,-131579,4306032,293164,-4467620
4/3/2008, ,-131579,3490580,-54442,-3304560
4/4/2008, ,-131579,7363354,-15023.4,-7216750
4/5/2008, ,-131579,5674478,184969,-5727870
4/6/2008, ,-131579,3787888,78764.1,-3735070
4/7/2008, ,-131579,2972140,-55952.4,-2784610
4/8/2008, ,-131579,2404113,-57625.1,-2214910
4/9/2008, ,-131579,1908020,-63881.7,-1712560
4/10/2008, ,-131579,1584872,-67784.2,-1385510
4/11/2008, ,-131579,3460257,-60965.9,-3267710
4/12/2008, ,-131579,1906806,134891,-1910120
4/13/2008, ,-131579,1500220,-68637.8,-1300000
4/14/2008, ,-131579,1288340,-48519.4,-1108240
4/15/2008, ,-131579,1183611,-52531.5,-999500
4/16/2008, ,-131579,1105993,-53415.3,-920999
4/17/2008, ,-131579,1040737,-64375.7,-844782
4/18/2008, ,-131579,984280,-74880.6,-777821
4/19/2008, ,-131579,925912,-83064.5,-711268
4/20/2008, ,-131579,876111,-90754.7,-653777
4/21/2008, ,-131579,837893,-94357.1,-611957
4/22/2008, ,-131579,807579,-91900.2,-584100
4/23/2008, ,-131579,790955,-83703.9,-575673
4/24/2008, ,-131579,762794,-78492.8,-552722
4/25/2008,554626, ,745135,-83386.7,-1216370
4/26/2008,523021, ,886806,-81201.5,-1328620
4/27/2008,519744, ,760928,47952.8,-1328620
4/28/2008, ,-1512660,2195818,-84400.9,-598752
4/29/2008, ,-742620,1363497,347091,-967968
4/30/2008, ,-131579,968190,-62882.9,-773728
5/1/2008,320656, ,1195901,-54634.3,-1461920
5/2/2008,229287, ,1332333,5053.54,-1566670
5/3/2008, ,-776942,2392512,-48896.7,-1566670
5/4/2008, ,-299317,2047493,99040.2,-1847220
5/5/2008, ,-63664.8,1696865,-66526.3,-1566670
5/6/2008,239791, ,1403515,-76631.8,-1566670
5/7/2008,264892, ,1382767,-80985.1,-1566670
5/8/2008,323109, ,1298917,-55352.3,-1566670
5/9/2008, ,-1028500,1581096,-60050.1,-492549
5/10/2008,232964, ,1189618,61838.6,-1484420
5/11/2008,658822, ,988188,-76464.5,-1570540
5/12/2008,765430, ,879808,-74693.3,-1570540
5/13/2008,530628, ,803779,-81986.8,-1252420
5/14/2008,109883, ,796071,-80280.8,-825673
5/15/2008,541874, ,722173,-64123.9,-1199920
5/16/2008, ,-805270,2088156,-82962.8,-1199920
5/17/2008, ,-1003230,1956553,242726,-1196050
5/18/2008, ,-707621,1897163,6509.77,-1196050
5/19/2008, ,-992564,1488172,-10558.8,-485050
5/20/2008, ,-741896,1242524,-53075.6,-447552
5/21/2008, ,-561495,1692458,-56198.9,-1074760
5/22/2008, ,-131579,1997215,-23103.2,-1842530
5/23/2008, ,-131579,1620535,-8643.33,-1480310
5/24/2008,284034, ,1323163,-78020.8,-1529180
5/25/2008,556387, ,1098850,-81064.3,-1574170
5/26/2008,663418, ,998881,-88125.1,-1574170
5/27/2008,789579, ,865742,-81146.9,-1574170
5/28/2008,921502, ,760338,-107667,-1574170
5/29/2008,202656, ,700243,-81097.2,-821802
5/30/2008,662799, ,665023,-82902.3,-1244920
5/31/2008,394572, ,1264858,-92756.5,-1566670
6/1/2008,1225996, ,907069,37545.2,-2170610
6/2/2008,1452454, ,711727,-109779,-2054400
6/3/2008,1386299, ,870491,-96836,-2159950
6/4/2008,1424722, ,760478,-27982.3,-2157220
6/5/2008,1542670, ,680306,-94125.3,-2128850
6/6/2008,1163909, ,1000614,-106953,-2057570
6/7/2008,1041081, ,1183490,-87656.9,-2136910
6/8/2008,742433, ,1606399,-96861.9,-2251970
6/9/2008,1055624, ,1026627,16647.4,-2098900
6/10/2008,1253271, ,1193982,-137746,-2309510
6/11/2008,1063243, ,991806,-58678.8,-1996370
6/12/2008,1396619, ,766542,-128343,-2034820
6/13/2008,1547657, ,711537,-115541,-2143650
6/14/2008,982234, ,1161008,-112986,-2030260
6/15/2008,1153154, ,1005060,46483.3,-2204700
6/16/2008, ,-1065100,2568934,-121815,-1382020
6/17/2008, ,-1246710,2035665,161730,-950688
6/18/2008, ,-289101,1474661,-90152.6,-1095410
6/19/2008, ,-231891,1218935,-17636.1,-969408
6/20/2008, ,-308081,1378096,-91247.1,-978768
6/21/2008,63252.6, ,1193620,-16744.4,-1240130
6/22/2008, ,-160516,1390431,-92891,-1137020
6/23/2008, ,-1142080,2448825,-45302.2,-1261440
6/24/2008, ,-986027,2280616,11635.6,-1306220
6/25/2008,42986.3, ,1375115,-73717.5,-1344380
6/26/2008,398026, ,1265292,-105670,-1557650
6/27/2008,679467, ,1013123,-75758.5,-1616830
6/28/2008,500243, ,1009014,-119081,-1390180
6/29/2008, ,-109632,1385766,-96198.5,-1179940
6/30/2008,1198244, ,989751,27583.1,-2215580
7/1/2008,477601, ,1310112,-108374,-1679340
7/2/2008,1443790, ,816231,-60604.4,-2199420
7/3/2008,1081456, ,1247068,-114259,-2214260
7/4/2008,977433, ,852788,44879.9,-1875100
7/5/2008,681486, ,763508,-115215,-1329780
7/6/2008,1129219, ,738482,-113447,-1754250
7/7/2008,1883666, ,628100,-120534,-2391230
7/8/2008,2506375, ,591669,-124332,-2973710
7/9/2008,1317556, ,1020021,-121768,-2215810
7/10/2008,1643755, ,668144,1049.17,-2312950
7/11/2008,1901707, ,586210,-114488,-2373430
7/12/2008,1981156, ,559863,-109645,-2431370
7/13/2008, ,-4718170,7005740,-128215,-2159350
7/14/2008, ,-1957190,3494440,581412,-2118660
7/15/2008,1543960, ,1531414,-122255,-2953120
7/16/2008, ,-195563,2443898,-116852,-2131480
7/17/2008,942761, ,1989723,-61863.2,-2870620
7/18/2008,98261.8, ,2170344,-59641.5,-2208960
7/19/2008, ,-17435.1,2168412,-62941.8,-2088040
7/20/2008, ,-2024280,7030054,-67705.1,-4938070
7/21/2008,655738, ,4743722,370778,-5770240
7/22/2008,655738, ,3533168,-58278.2,-4130630
7/23/2008,655738, ,16197192,-13951,-16839000
7/24/2008,655738, ,15019125,487645,-16162500
7/25/2008,655738, ,7669871,8063.46,-8333670
7/26/2008,655738, ,6199115,-113130,-6741720
7/27/2008,655738, ,5634768,3387.48,-6293890
7/28/2008,655738, ,3439827,-85156,-4010410
7/29/2008,1335642, ,2158324,-107795,-3386170
7/30/2008,2027566, ,1520003,-115132,-3432440
7/31/2008,2827876, ,1139132,-113720,-3853290
8/1/2008,2271440, ,905196,-116555,-3060080
8/2/2008,2010369, ,1039989,-118205,-2932150
8/3/2008,1751479, ,954759,-26373,-2679860
8/4/2008,2990798, ,779401,-91801.3,-3678400
8/5/2008,2561088, ,710892,-106212,-3165770
8/6/2008,2075358, ,977817,-97749.8,-2955430
8/7/2008,2870835, ,803995,69761.6,-3744590
8/8/2008,3054934, ,976213,-73451.5,-3957700
8/9/2008,2327892, ,758848,-12692,-3074050
8/10/2008,1486546, ,1608417,-102717,-2992250
8/11/2008,11020.8, ,3262982,269949,-3543950
8/12/2008,961385, ,2206130,98339.9,-3265860
8/13/2008,1139351, ,1446955,-40459.3,-2545850
8/14/2008,2267685, ,1316772,-97331,-3487130
8/15/2008,1000236, ,1759220,-86967.5,-2672490
8/16/2008,355627, ,1617936,-53257.8,-1920310
8/17/2008,1576677, ,1308460,-91398.8,-2793740
8/18/2008,1558927, ,1442222,-98671.1,-2902480
8/19/2008,2254882, ,1289229,-77242.3,-3466870
8/20/2008,1908918, ,986607,-68156.3,-2827370
8/21/2008,2501460, ,835964,-82152.8,-3255270
8/22/2008,2920591, ,748932,-93488.5,-3576030
8/23/2008,2355274, ,686980,-100975,-2941280
8/24/2008,2417007, ,642592,-101737,-2957860
8/25/2008,3022208, ,760279,-87171.3,-3695320
8/26/2008,2488705, ,912697,-3056.6,-3398350
8/27/2008,3376398, ,634392,-62677.8,-3948110
8/28/2008,2045071, ,625212,-72101,-2598180
8/29/2008,2805924, ,874944,-61045.2,-3619820
8/30/2008,2149458, ,635331,61614.8,-2846400
8/31/2008,3199606, ,604956,-85915.7,-3718650
9/1/2008,2259400, ,592514,-70075.8,-2781840
9/2/2008,2307439, ,578135,-76433.7,-2809140
9/3/2008,2995911, ,562820,-79990.5,-3478740
9/4/2008,3681998, ,551318,-84975.6,-4148340
9/5/2008,2480308, ,542462,-88176.9,-2934590
9/6/2008,560013, ,2127593,-86966.2,-2600640
9/7/2008,1239222, ,1480426,226592,-2946240
9/8/2008,2141152, ,724511,-76048.6,-2789610
9/9/2008,545327, ,3787513,-70831.6,-4262010
9/10/2008,1027193, ,2310676,231142,-3569010
9/11/2008,1597963, ,1536348,-62099.4,-3072210
9/12/2008,907567, ,3068856,-61811.2,-3914610
9/13/2008, ,-149321,3004310,126952,-2981940
9/14/2008,648079, ,2494617,12044,-3154740
9/15/2008,1675605, ,1936173,-46637.8,-3565140
9/16/2008,2013622, ,1467906,-81411.1,-3400120
9/17/2008,1114965, ,1164754,-59031.2,-2220690
9/18/2008,1737836, ,954985,-61733,-2631090
9/19/2008,2658138, ,826585,-62833.6,-3421890
9/20/2008,2123858, ,730752,-51793.4,-2802820
9/21/2008,1522766, ,666822,-56372.7,-2133220
9/22/2008,2350074, ,623140,-48297.2,-2924920
9/23/2008,1945126, ,588239,-62049,-2471320
9/24/2008,2690041, ,567684,-55637.4,-3202090
9/25/2008,2360984, ,553843,-58166.2,-2856660
9/26/2008,2163646, ,863261,-58617.5,-2968290
9/27/2008,889232, ,1887690,47494.1,-2824420
9/28/2008, ,-2125350,3435122,261839,-1571620
9/29/2008,1968758, ,1931578,126180,-4026520
9/30/2008,1365136, ,2136284,-58103.6,-3443320
10/1/2008,1029540, ,2486685,-13292.2,-3502930
10/2/2008,592804, ,2361596,-30347.5,-2924050
10/3/2008,17223.7, ,2505311,-21808.6,-2500730
10/4/2008, ,-425120,2134445,-18449.4,-1690880
10/5/2008, ,-74558.8,1739842,-44781.3,-1620500
10/6/2008,1970391, ,1414360,-42048.2,-3342700
10/7/2008,1497712, ,1164865,-41726.9,-2620850
10/8/2008,707600, ,1326925,-38826.9,-1995700
10/9/2008,1764568, ,1082864,1808.15,-2849240
10/10/2008,956816, ,875844,-56073.1,-1776590
10/11/2008,1268636, ,779100,-47910.7,-1999830
10/12/2008,1336204, ,712872,-45311.7,-2003760
10/13/2008,2128209, ,665937,-48860.8,-2745280
10/14/2008,1623643, ,632481,-50426.9,-2205700
10/15/2008,2010263, ,607966,-52191.7,-2566040
10/16/2008,1097723, ,1214621,-45852.8,-2266490
10/17/2008,1117612, ,894729,92617.5,-2104960
10/18/2008,561671, ,699049,-40584.7,-1220140
10/19/2008,1379438, ,688425,-30653.1,-2037210
10/20/2008,1296940, ,678731,-29400.8,-1946270
10/21/2008,864342, ,912845,-31345.7,-1745840
10/22/2008,1245458, ,816398,9100.16,-2070960
10/23/2008,372700, ,742219,-28704,-1086220
10/24/2008,671603, ,717269,-32726.1,-1356150
10/25/2008, ,-9547180,10718304,-28606.4,-1142510
10/26/2008, ,-5950080,6587382,627425,-1264730
10/27/2008, ,-5396740,6742602,-35001.7,-1310860
10/28/2008, ,-11124600,12375911,98991.3,-1350290
10/29/2008, ,-8304990,8878216,414044,-987273
10/30/2008, ,-5450250,6464152,-2795.17,-1011100
10/31/2008, ,-5585190,6518269,-2803.92,-930277
11/1/2008, ,-4718590,5663978,-13993.3,-931392
11/2/2008, ,-2933700,3964171,-31401.3,-999072
11/3/2008, ,-1642590,2600006,-26023,-931392
11/4/2008, ,-686555,1886864,-22676.2,-1177630
11/5/2008, ,-321716,1421349,-25393.3,-1074240
11/6/2008, ,-37393.6,1171658,-35831.9,-1098430
11/7/2008, ,-209762,1048908,-39082.8,-800064
11/8/2008,49024, ,1086047,-41823.3,-1093250
11/9/2008,139002, ,945319,-4320.99,-1080000
11/10/2008, ,-145697,919755,-30154.2,-743904
11/11/2008, ,-396470,1225091,-18189.4,-810432
11/12/2008, ,-12843.4,885861,11142.1,-884160
11/13/2008, ,-957608,1600025,-11697.1,-630720
11/14/2008, ,-496368,1136422,74762.1,-714816
11/15/2008, ,-2879570,3410293,-25572.9,-505152
11/16/2008, ,-1971190,2552942,211400,-793152
11/17/2008, ,-1231870,1909253,-16139.4,-661248
11/18/2008, ,-1311620,1872619,-14658.8,-546336
11/19/2008, ,-1134390,1824893,-14854.3,-675648
11/20/2008, ,-1203690,1754324,-12359.3,-538272
11/21/2008, ,-1177470,1617163,-12299,-427392
11/22/2008, ,-917576,1485136,-12007.2,-555552
11/23/2008, ,-866713,1308607,-10469.9,-431424
11/24/2008, ,-678742,1148238,-9848.25,-459648
11/25/2008, ,-878005,1306815,-12361.6,-416448
11/26/2008, ,-795534,1185040,3326.05,-392832
11/27/2008, ,-638914,1006915,-9152.73,-358848
11/28/2008, ,-602062,938836,-15366,-321408
11/29/2008, ,-608262,889860,-15485.8,-266112
11/30/2008, ,-1030490,1282378,-16877.6,-235008
12/1/2008, ,-1314650,1533545,-13262.9,-205632
12/2/2008, ,-391446,1598521,46554.4,-1253630
12/3/2008, ,-364248,939641,4489.55,-579882
12/4/2008, ,-1185600,1405989,-14760.6,-205632
12/5/2008, ,-885937,1076215,15353.9,-205632
12/6/2008, ,-702600,922789,-14557.5,-205632
12/7/2008, ,-685505,901679,-10542.7,-205632
12/8/2008, ,-660474,877618,-11511.3,-205632
12/9/2008, ,-694710,911220,-10877.2,-205632
12/10/2008, ,-5690450,5906076,-9996.78,-205632
12/11/2008, ,-8489020,8423834,270818,-205632
12/12/2008, ,-3707360,3338255,574733,-205632
12/13/2008, ,-2324170,2495791,34011.2,-205632
12/14/2008, ,-2245310,2464373,-13429.3,-205632
12/15/2008, ,-3518850,3739132,-14646.4,-205632
12/16/2008, ,-3023130,3186151,42610.2,-205632
12/17/2008, ,-2417320,2570634,52313.6,-205632
12/18/2008, ,-1901840,2086177,21291.8,-205632
12/19/2008, ,-1447800,1672077,-18645.2,-205632
12/20/2008, ,-1168360,1388622,-14630.3,-205632
12/21/2008, ,-980796,1200483,-14055.1,-205632
12/22/2008, ,-851178,1071186,-14375.9,-205632
12/23/2008, ,-756081,972398,-10684.9,-205632
12/24/2008, ,-1243480,1459982,-10869.8,-205632
12/25/2008, ,-846812,1022845,29598.5,-205632
12/26/2008, ,-655584,881616,-20400.4,-205632
12/27/2008, ,-1814600,2036697,-16462.5,-205632
12/28/2008, ,-1085760,1239944,51452,-205632
12/29/2008, ,-773144,992037,-13260.9,-205632
12/30/2008, ,-732572,960175,-21971,-205632
12/31/2008, ,-731094,954037,-17311.6,-205632
1/1/2009, ,-698327,916424,-12465,-205632
1/2/2009, ,-673942,889618,-10044.5,-205632
1/3/2009, ,-647790,864395,-10972.6,-205632
1/4/2009, ,-610709,830124,-13782.9,-205632
1/5/2009, ,-574553,791956,-11770.9,-205632
1/6/2009, ,-536010,759397,-17755.2,-205632
1/7/2009, ,-513806,731831,-12392.7,-205632
1/8/2009, ,-486792,709018,-16594.1,-205632
1/9/2009, ,-466140,687540,-15767.6,-205632
1/10/2009, ,-451316,670383,-13434.3,-205632
1/11/2009, ,-441064,655566,-8869.53,-205632
1/12/2009, ,-424805,642495,-12057.9,-205632
1/13/2009, ,-414239,630685,-10813.7,-205632
1/14/2009, ,-400303,619987,-14051.6,-205632
1/15/2009, ,-393949,610639,-11057.8,-205632
1/16/2009, ,-388266,602438,-8540.2,-205632
1/17/2009, ,-383961,594978,-5384.56,-205632
1/18/2009, ,-376913,587906,-5361.27,-205632
1/19/2009, ,-365325,581022,-10064.9,-205632
1/20/2009, ,-356972,574463,-11859.1,-205632
1/21/2009, ,-354088,568428,-8707.25,-205632
1/22/2009, ,-346155,562753,-10966.6,-205632
1/23/2009, ,-339648,557169,-11889,-205632
1/24/2009, ,-330049,551746,-16064.1,-205632
1/25/2009, ,-326218,546747,-14897,-205632
1/26/2009, ,-329398,542135,-7104.2,-205632
1/27/2009, ,-323927,537728,-8168.49,-205632
1/28/2009, ,-316822,533390,-10935.5,-205632
1/29/2009, ,-308186,529142,-15324.4,-205632
1/30/2009, ,-305099,525077,-14346.9,-205632
1/31/2009, ,-300961,521242,-14648.6,-205632
2/1/2009, ,-367276,584496,-11587.3,-205632
2/2/2009, ,-715982,937914,-16299.6,-205632
2/3/2009, ,-394637,582554,17714.7,-205632
